logFC	logCPM	LR	PValue	FDR
Tnf	1.81694445341367	5.70436719135057	85.7659210133502	2.02546900944515e-20	3.34587225670244e-16
Gm8741	-6.26091475933013	0.545780019027732	68.5617916868432	1.22963613495796e-16	1.01561796566853e-12
Gm12715	-6.74635355954164	0.0856429469374923	63.8464284737829	1.34505977889342e-15	7.4063474958468e-12
Fosb	-1.27762395477808	7.38343502490348	59.4533425814808	1.25228207151243e-14	5.17161188482845e-11
Cxcl2	1.23808001411319	6.2071258599664	53.5088157889798	2.57435009347102e-13	8.50513783880956e-10
Ccrl2	1.78389821196068	5.64654883738903	48.2982508021374	3.66078619931088e-12	9.80077155160551e-09
Cd83	1.57840084971181	4.98797946007584	48.05082862981	4.15312070108594e-12	9.80077155160551e-09
Gm16199	5.40237531502113	-0.67179546716489	42.3667897496813	7.56639896477458e-11	1.56236680623889e-07
Rpl31-ps16	5.60024360789167	-1.38948633217323	41.7558265971355	1.03413611216014e-10	1.8980993818637e-07
Rgs1	1.4444134994361	6.13765024195444	41.5211417006922	1.16603080826118e-10	1.92616629216664e-07
Amd-ps3	-5.95081141783966	-0.957405599242665	40.2996764061922	2.1784505707887e-10	3.27143863444168e-07
Lilr4b	1.44295717130329	6.07826458984431	38.5616973235735	5.30498683369749e-10	7.30275645882074e-07
Lilrb4a	1.23905654517696	5.40033243091152	37.8297166595299	7.71968483944555e-10	9.80934414329239e-07
Rasgef1b	1.29645672876759	5.19954002208254	36.7761944763928	1.32498313036584e-09	1.56338545217952e-06
Ccl4	1.46236014660549	4.09679170694812	35.1390300072943	3.06985869910492e-09	3.38073305670095e-06
Gm13597	5.18074347839486	0.0662442513571742	33.3966502927227	7.51532956521383e-09	7.75910806798545e-06
Tnfaip3	0.996992841661901	5.5456236925697	32.964067380887	9.38780024067782e-09	9.12218071622099e-06
Gm49339	1.70989526051773	5.40439218822976	32.2261773329537	1.37229357552863e-08	1.25938430967542e-05
Adam11	-1.01326380959764	6.7711366916523	29.9724408602958	4.38230647821099e-08	3.61960735187285e-05
Cd53	1.12109662069261	5.46824265545621	29.9724187269077	4.38235650084491e-08	3.61960735187285e-05
Hk3	2.04295145235408	4.64883430969364	29.3725032449976	5.97189983975756e-08	4.69761016442643e-05
Hpgds	1.48818351969999	4.30377324050298	29.1232763943902	6.79160978676083e-08	5.03463044119432e-05
Lcp1	1.595790752182	6.94550182971517	29.0619880715535	7.00989770249224e-08	5.03463044119432e-05
Itgb2	1.14022689479328	5.77867044546907	28.3900481321228	9.91738113748489e-08	6.82605079208804e-05
C3ar1	1.32853514050953	6.15987879286401	28.1433484593275	1.12654167157977e-07	7.42823985284691e-05
Msr1	1.51698273960135	4.97941401594332	28.071476148368	1.1691642119621e-07	7.42823985284691e-05
Aqp1	-1.32423498061284	6.35115157677282	27.8014890726693	1.34422611168734e-07	8.2241744959123e-05
Adam8	1.4360556777006	6.56518272229199	27.5331460358891	1.54425177692365e-07	9.11053396535778e-05
Nckap1l	1.24930284478896	6.0779439942746	26.9231406181698	2.11708855376033e-07	0.000120593744205403
Trem2	1.04482694385632	6.48076075217675	26.4623435191334	2.68725810808398e-07	0.000147969388958131
Slc15a3	1.39395846890858	5.8820759980718	26.3757404511435	2.81048326466085e-07	0.000148594464291419
Apbb1ip	0.964734174738939	5.25367878622592	26.3295426065933	2.87851737836758e-07	0.000148594464291419
Cyp2d22	-1.07058089669122	5.32869538707516	25.9204173321426	3.55786067413722e-07	0.000178097880230524
Slfn2	1.21777281925644	4.571513427939	25.308284250699	4.8860572762489e-07	0.000237390529842222
Plaur	1.32654777757405	3.95148752941731	25.1936013327103	5.185395331367e-07	0.00024473584422529
Atp6v0d2	1.36260730903551	5.08066557630225	25.1148687841049	5.40147628216508e-07	0.000247852740847458
1810010H24Rik	-1.31596918367688	4.09902963727007	25.0017169037977	5.72792860703688e-07	0.000248174889225372
Nlrp3	1.16294872742432	3.32180653477947	24.9709843830307	5.81996177383527e-07	0.000248174889225372
Cd5l	1.36528926975672	7.53484638082993	24.9580278582891	5.85920496385346e-07	0.000248174889225372
Il1rn	2.01838777791329	3.27153691700257	24.8115775593705	6.32166293318493e-07	0.000261068874983204
Plek	1.47657544404628	6.89709947296346	24.5130750912825	7.38072775516165e-07	0.000291122192690995
Myo1f	1.34421275473137	5.32505416932713	24.5075663427465	7.40185973304788e-07	0.000291122192690995
Spi1	1.27497058799332	4.73479376730508	24.3350418826179	8.09529169603202e-07	0.000310990984945937
Cdk18	1.43588648442164	4.61292735735109	23.9935329744964	9.66598216240733e-07	0.000362891725774561
Cd36	2.07374209743911	6.14328363639649	23.8603485582505	1.03583519174549e-06	0.000374105378167075
Myb	1.68276519299372	3.62403653301767	23.8493678431601	1.04176084482629e-06	0.000374105378167075
Cyth4	0.923765740530569	5.85908197379223	23.5893514672361	1.19245590103576e-06	0.000419110192110843
Lgals3	1.01415649024082	7.15982535507044	23.539113904482	1.22399986816609e-06	0.000421234454629909
S100b	1.60422881497504	4.36691862862152	23.448544698414	1.28299741835309e-06	0.000432527231709686
Rac2	1.03329169885128	5.07026422048817	23.3797451572467	1.3297131167206e-06	0.00043931061950215
Tlr13	1.20214816382011	5.276068960468	23.2869522602713	1.39543446661974e-06	0.000450427590322123
Neurog2	2.12511427059115	4.61434990500505	23.2562399040394	1.41789664608938e-06	0.000450427590322123
Adgre1	0.907350145094313	6.08729946961689	23.2187468808631	1.44581020758381e-06	0.000450629034322205
Cfp	1.39634120640202	4.37436257442525	22.9484277021227	1.66406259322474e-06	0.000509049073657028
Capg	0.805946002116564	5.91497468867262	22.8393396252717	1.76123496168515e-06	0.000523382048057309
Plau	1.69425286380578	6.8291559882199	22.825152462663	1.77428383626184e-06	0.000523382048057309
Litaf	0.715497337817007	5.66728776720687	22.6421779175131	1.95153087564277e-06	0.000565567342714789
Ehd4	0.770782739792062	6.17767530773018	22.3757110363048	2.24191452272537e-06	0.000629186097929818
Pirb	1.61287503795873	4.05978303047033	22.3617721583871	2.25824532592824e-06	0.000629186097929818
Pcdhgc5	-1.52335611185886	7.45703889371846	22.3388861181118	2.2853178688655e-06	0.000629186097929818
Dock8	1.10582895223032	4.39755303061665	22.1684006401153	2.49750728973027e-06	0.0006566901125705
Cxcr4	0.856247470603878	4.9599773551426	22.1544486032233	2.51572348183209e-06	0.0006566901125705
Plin2	0.820875691304932	6.61772876872408	22.1332475088465	2.54365975822563e-06	0.0006566901125705
Slc11a1	1.09497512467902	3.71794714804463	22.1134233059018	2.57006324024224e-06	0.0006566901125705
Tnfsf9	1.26135570441408	2.51455540407506	22.0704202106576	2.62828728219263e-06	0.0006566901125705
Mpeg1	1.32202137127536	7.7849106019382	22.0466826149586	2.66099178244947e-06	0.0006566901125705
Bcl2a1b	1.23511334720124	4.376379822849	22.0448793908682	2.66349279873016e-06	0.0006566901125705
Stap1	1.47320416451664	3.26847661638046	21.9918265222969	2.7381404067424e-06	0.000657670312479718
Fermt3	1.08393153064476	4.72194518571297	21.9855605581499	2.74709434960352e-06	0.000657670312479718
Fcer1g	1.02863927220369	5.22090294884382	21.9366046932786	2.81807031638355e-06	0.000664531502829948
Gpr137b	0.85715334788622	6.15768407222171	21.9108061374599	2.85621022464594e-06	0.000664531502829948
Evi2b	1.46000957786814	3.48334052327759	21.874195009816	2.91122584888302e-06	0.000667924163856926
Arhgap25	1.45128727587578	4.97345818598984	21.8293279460677	2.98009976408923e-06	0.000674359835657398
Tyrobp	0.935551330454471	6.17582459639193	21.795120540589	3.03370679122694e-06	0.000677213547084835
Glycam1	2.80045020250964	4.17697635668844	21.7331901822582	3.13323255442575e-06	0.000686279162300751
Ccl6	1.5324039864495	3.95587697323833	21.7184451478278	3.15740761152958e-06	0.000686279162300751
Gm9824	-4.66458326319402	-1.74286594968017	21.6628465919478	3.250259083473e-06	0.000695693804190689
Tmem106a	1.49493714514014	4.90818919123712	21.6424810255613	3.28495167545697e-06	0.000695693804190689
Tnr	1.23837663747483	5.19884565219696	21.4655642034798	3.60240079329908e-06	0.000753266565879841
Nrros	1.17456808622625	4.14684378639081	21.352293619512	3.82163268609943e-06	0.000789119379270955
Tlr2	0.84449054994893	4.63591434858682	21.1355066950092	4.2792534592504e-06	0.000872703554238979
Ccl9	2.03923916710227	3.12295388524598	21.0754203087008	4.41555900516017e-06	0.000883576310711
Igsf6	1.72529487540605	2.45252672759322	21.0443222982688	4.4878071476842e-06	0.000883576310711
Carns1	-1.49478359995141	5.7532571263357	21.042092491462	4.49303287727611e-06	0.000883576310711
Mmp12	1.78832537446803	7.79095763952092	20.9146482395424	4.80208389623752e-06	0.000933242633905266
Kctd12	1.12191486158907	5.30834873052694	20.8879878502124	4.869386166735e-06	0.000935318489398785
Ncf2	1.07137449219353	4.49302495335056	20.7846569287212	5.13930499964458e-06	0.000975818152748608
Hcls1	1.24457143355267	4.80866202204963	20.7108486556918	5.34125297069023e-06	0.00100263815707764
Cd84	0.995352674739614	5.41469520704183	20.6829938683806	5.41952048914924e-06	0.00100589953887928
Dock2	1.17968645048685	4.22413635359896	20.6537350034153	5.50297319978838e-06	0.00101004015874783
Ccl3	0.842161651099841	5.21606782838415	20.629671325395	5.572573852229e-06	0.00101157524686781
Lpl	1.67732974608773	7.86364734045511	20.4795345031526	6.0272268323928e-06	0.00108221478309018
Ripply1	2.71786988275832	0.855899365808148	20.3952959238136	6.29844280558893e-06	0.0011187524376938
Ucp2	0.98129194266413	6.20910903529906	20.3361184544115	6.4962659471178e-06	0.00114161507638765
Vwa5b1	1.88228788343662	3.81225515577394	20.2251864060438	6.88405896219848e-06	0.00119702915785849
