logFC logCPM LR PValue FDR
LINC02027 6.33055798869785 3.78322945675489 135.471762193304 2.60344017853948e-31 3.98768932146893e-27
AC068756.1 5.53330931697665 3.00390802696218 80.9112555178549 2.36085161514517e-19 1.67962848562305e-15
AC108690.1 5.28717469880223 4.60282063898402 80.2556325218512 3.28973392757665e-19 1.67962848562305e-15
LINC02050 4.87600890676153 2.86252249628422 58.1777505326853 2.39472201392145e-14 9.16998927180872e-11
BUB1B 2.71821409888369 3.38018659234904 52.9365984499323 3.44490469034281e-13 1.05531210283962e-09
RYR1 -3.33828006845277 4.69215199643067 44.4679860040444 2.58550706519283e-11 6.6003686195931e-08
FTL -3.17615607455079 8.92070135842536 43.5114042557055 4.21495843550979e-11 9.22293119381477e-08
LINC02211 4.45114726841892 4.09426890449463 41.8326469034166 9.94293048701411e-11 1.90369832836994e-07
KIF4A 2.7562412483378 3.64970143212424 40.7304365833048 1.74744121304923e-10 2.973950784475e-07
ALK 2.67421923635966 5.27229287147975 40.4295269050968 2.03837201147117e-10 3.12217440997039e-07
MELK 2.61782046899471 3.50230785897586 38.7903416806709 4.71856798679351e-10 6.57039144124693e-07
HSPA1B -2.35254575400368 6.03329689832158 37.8803220211385 7.52201333038571e-10 9.60122318179316e-07
KIF18B 3.112947364281 3.05219305517384 36.4135780197813 1.59587583320383e-09 1.88031001055254e-06
SPC25 2.71039010411552 3.27316153162637 35.5178175731174 2.52728207818339e-09 2.76502711368107e-06
HSPA6 -8.55063580678319 3.3673847004657 34.5264232522296 4.20504095928337e-09 4.29390749155623e-06
LINC01362 2.48577098120489 4.89738888887643 33.7806507434048 6.16893894176826e-09 5.90560236069153e-06
SEZ6L 2.6112496520255 4.73004381435441 32.4448438679936 1.22623875277153e-08 1.10484111624715e-05
AC126121.3 3.47511344937497 4.72863679851346 32.0997553099074 1.46455759326523e-08 1.24625714755798e-05
DIAPH3 2.32955148245741 5.18971221539766 31.4895338768383 2.00518150694722e-08 1.61649290220582e-05
NDC80 2.10265220759267 3.6653441725814 30.5119106302908 3.31823033081249e-08 2.54126669885275e-05
MKI67 2.55422866506334 4.7473020473495 29.0850477830339 6.92695398059059e-08 4.97615641426234e-05
KNL1 2.05554039507869 3.98375376972728 29.0243785963151 7.14731612677231e-08 4.97615641426234e-05
AC011503.1 2.55085928885031 2.34245819929003 28.4085850844856 9.82287437663308e-08 6.541607253343e-05
CC2D2B 2.01987648887072 4.00233370907736 28.2004562635622 1.09378781618186e-07 6.98064499185731e-05
LINC02484 6.5611465381849 5.98061787964635 27.957825477606 1.23988517369947e-07 7.59652848222191e-05
KIFC1 1.98273665941166 3.11438629761694 27.6714838273838 1.43766463801016e-07 8.46950356169294e-05
SCN1A 4.44880834700914 4.30289813409184 27.3447417217898 1.70226708690286e-07 9.65689813707079e-05
KIF15 2.11636727398903 3.78530553835046 27.2676262352497 1.77152790738299e-07 9.69089034192331e-05
TAFA1 4.23767070946212 5.91526385051436 27.187039348643 1.84692652009015e-07 9.75495638214512e-05
HSPA1A -2.47162915823455 6.16516133730553 26.916457486685 2.12442176661815e-07 0.000108465893997634
PDGFB -7.91559666268647 2.79041762514463 26.7909106312051 2.26701124344735e-07 0.000110747010802383
TLL1 4.95693722108859 4.02572621240818 26.6925442201005 2.38540180050986e-07 0.000110747010802383
JUNB -3.45143194304157 5.32400926691978 26.636547349152 2.45554563303694e-07 0.000110747010802383
C21orf58 1.75886966846181 4.95842159100004 26.6136297718506 2.4848458801935e-07 0.000110747010802383
FOS -3.49351312172688 6.58907123247071 26.526225117967 2.5998465342591e-07 0.000110747010802383
DDX3Y -7.98156609925326 5.95295687052927 26.4512427043447 2.70274546458094e-07 0.000110747010802383
SHISA9 -2.73878344952972 6.81367139837447 26.4469330320998 2.70878220627786e-07 0.000110747010802383
LINC00486 1.91495482068894 7.15667960913425 26.4195002664127 2.74752654598848e-07 0.000110747010802383
AC110809.1 3.25291465494658 3.06100717675577 25.9967151015985 3.41998774417782e-07 0.000134317826352748
DAB1 2.52525842131136 8.20587588339862 25.8374710729917 3.71407682396443e-07 0.000142221286781658
PRELID3B -2.60776131170487 3.5790067431222 25.4134074379574 4.62691206802404e-07 0.000172854663770547
DRC1 -3.25788507397722 3.26327827576472 24.827419884479 6.26992035703529e-07 0.000225981923041196
LMX1A -5.25539365914749 3.34303350474676 24.8047552414492 6.3440769672726e-07 0.000225981923041196
DEC1 3.76519604606113 4.31037097712255 24.4159767197089 7.76222873708608e-07 0.000270213767195335
SIX4 -3.3697065312225 2.97918589159934 24.18924960197 8.73183294712808e-07 0.000292190838836488
AC009041.2 3.03552229357587 3.14230888759628 24.1797362112205 8.77507252495819e-07 0.000292190838836488
DPP6 4.29296211880434 6.41218166397461 24.0749431971124 9.26581820175122e-07 0.000301967100843029
DDIT3 -2.65973374450734 4.89293959840666 23.5932639568472 1.19003375708104e-06 0.000379744730358548
NTM 3.21617842404172 7.96391441058887 23.353368926465 1.34807196694597e-06 0.000421396292198193
OGN 2.92500378477232 2.51676005540978 23.1753483499609 1.47880938785834e-06 0.000453018467876525
AL357153.2 -2.30878290600076 6.42211440113888 23.134665227215 1.51042955988387e-06 0.000453632344485122
GEM -4.19422034268878 4.67434819944464 23.0192535384013 1.6038707426593e-06 0.000472432464717547
CDC25C 2.08119586461091 3.11709614595718 22.5439000842114 2.05395683660179e-06 0.000593593525777917
