logFC logCPM LR PValue FDR
SCN1A 2.98928464072946 4.95895443541534 47.3582179586265 5.91297012201237e-12 6.08698163088338e-08
RIT2 2.4449035364273 3.57408168042128 47.1134909515991 6.69929741457559e-12 6.08698163088338e-08
CSMD1 2.04710196259949 7.20558836587207 42.972674911068 5.55097844079178e-11 2.85415315835469e-07
AC015522.1 -4.94275988952422 4.36770722741895 42.730492248857 6.28252951431806e-11 2.85415315835469e-07
GADD45B -3.90808974140172 4.18281217007666 41.6494997675288 1.09193326818099e-10 3.96852226987698e-07
AC010809.2 2.15217075784346 1.88564671876228 40.6756978127937 1.7970829582528e-10 5.44276525289497e-07
AC093817.2 5.07969197753197 2.69075629947642 40.0831379744268 2.43380789156543e-10 6.31816528650386e-07
AL353693.1 2.35600393948961 1.87905092680127 39.6360313286618 3.05985496912904e-10 6.95046056237661e-07
AC005972.3 2.44976715957248 2.51999266848874 38.404087535348 5.75118103524656e-10 1.16122735302778e-06
TMF1 -1.74288142723771 6.9047778192469 37.6890107489915 8.29706641051855e-10 1.50774290811943e-06
RASL12 -4.45676621485997 0.893277750237223 36.2901922324857 1.70017311511433e-09 2.80868598616887e-06
RNF6 -1.92027879977465 4.64693401382371 36.116234453457 1.8589170842942e-09 2.81502010464951e-06
MMP26 3.93477222162047 1.00325487522497 35.8886901136459 2.08917915496819e-09 2.88832623655922e-06
GALNTL6 2.94590246809044 7.46995611305114 35.7657886993785 2.22521281707182e-09 2.88832623655922e-06
AC079210.1 -3.89210484601769 1.93138908197622 34.9210413731016 3.43350215177749e-09 3.82778003191633e-06
LINC00486 2.09232671846173 6.96036400475614 34.8992806784413 3.4720911955665e-09 3.82778003191633e-06
PODXL2 1.59916059100375 5.54575582395179 34.8391980349676 3.58090802017266e-09 3.82778003191633e-06
AC015845.2 -2.29037946628399 3.30072513039526 34.7164333729725 3.81398416659431e-09 3.85042890418621e-06
CHORDC1 -1.74499630947987 6.5598881607095 33.4106475788448 7.46143466299122e-09 7.13627319451982e-06
MYLIP -1.71622199603729 5.36417459376663 31.7222436658075 1.7787325295177e-08 1.5479692634879e-05
NEGR1 1.78971014265887 9.01303183944783 31.7112058446285 1.7888704893928e-08 1.5479692634879e-05
SMIM1 -3.03132467987823 1.63188589892316 31.3643198435475 2.13875408521303e-08 1.76661087438597e-05
MEG3 3.30836308490328 8.22722436622504 31.2742042684804 2.24036772670612e-08 1.77008531868276e-05
LINC00598 -2.37501370327853 4.22960134585355 31.1609585692731 2.37494830605151e-08 1.79823169239867e-05
TICAM2 -2.8615265670634 4.07543751196263 31.0065726873349 2.57156119530558e-08 1.84366735152292e-05
CHGA 2.42803357874368 3.46327689584498 30.9571618714281 2.63786876180915e-08 1.84366735152292e-05
MERTK -2.00776010061983 4.62704974030378 30.579492290546 3.2046322074093e-08 2.15683616566822e-05
ANKRD33B -1.97552945015013 3.70754575601898 30.1225309655024 4.05591529339421e-08 2.57698637660411e-05
PCDHGA7 2.42684250685568 0.935269986166928 30.0854954811051 4.13411752059006e-08 2.57698637660411e-05
AL928970.1 1.70040237352929 2.44870110538321 30.0299138232532 4.25432485681946e-08 2.57698637660411e-05
TPT1 -1.89043426036656 8.65111105731584 29.9422793242045 4.45100668836498e-08 2.60915140454737e-05
PLXNA4 1.78218788712531 6.01747354698291 29.7182289278109 4.99627842018148e-08 2.83726160786056e-05
RUNX2.AS1 2.31357894141815 0.94166069143906 29.3761288239825 5.96073758482303e-08 3.28237949670922e-05
GDF7 -3.55866350785657 4.52820526593885 29.2749172521076 6.28034040136496e-08 3.35665722863541e-05
HIST1H2BD -1.94629505214943 5.36523566659006 29.0587154494133 7.02174939411188e-08 3.64569228542289e-05
AC105389.3 4.04571124238124 1.77410884454126 28.8519644009589 7.81266234147161e-08 3.92277813324468e-05
ZNF385D.AS2 2.9915188635761 2.58873316683947 28.8036540714363 8.00998471753093e-08 3.92277813324468e-05
AC092069.1 1.98396327308741 2.4477379255713 28.7575299436714 8.20303593788784e-08 3.92277813324468e-05
SH3BGR -2.04100483264152 3.72916366789135 28.6546803722321 8.65046608626467e-08 4.03067358255389e-05
FOS -3.43463017828553 6.43201779249411 28.5341688096964 9.20594583568388e-08 4.1334729225527e-05
AC046195.1 2.16110166198691 1.65945552294447 28.4826631069868 9.45412645115849e-08 4.1334729225527e-05
AC007535.1 2.61396123993665 0.982601831640055 28.4429776125077 9.64991515754534e-08 4.1334729225527e-05
BHLHE40 -3.39939296228697 1.52305041271635 28.4168665594477 9.78094517223014e-08 4.1334729225527e-05
CEBPD -5.09910078433882 2.78949722399609 28.3151364474291 1.03086752614694e-07 4.25748288298686e-05
AL132655.2 2.87887936077469 0.650805043454011 28.1562979808751 1.11902941656336e-07 4.42855682230193e-05
MEG8 2.5595909520191 7.36525690411265 28.1528405105543 1.12103023236787e-07 4.42855682230193e-05
ALPK3 -2.11944285632005 2.81852277881713 27.6272936592392 1.47088573588827e-07 5.68700757288547e-05
GOLGA6L9 1.40662773810635 4.29317426137263 27.5423643394061 1.53690918056279e-07 5.81848200608063e-05
INSYN2B 1.78027007182305 3.4803250160636 27.439188157862 1.62112654637168e-07 6.01206359197267e-05
PURPL -3.04524105590341 7.55519853940671 27.1398032476463 1.89260806279967e-07 6.87849474343913e-05
APC2 1.62724515065263 6.10453839916694 26.9548656267952 2.082622166581e-07 7.4206686296294e-05
RYR1 -2.85354926798899 4.39181788342355 26.8632246164975 2.18374910478801e-07 7.63136321773224e-05
MAPK11 1.74415513479905 2.48712953678174 26.7115156188206 2.36209584513332e-07 8.09886899957787e-05
SLC1A2 1.72212369975503 6.67707360930629 26.6358247265963 2.45646420091523e-07 8.2664569368577e-05
AC027801.1 -3.62826162522256 1.45109206437301 26.3776530318298 2.80770167717633e-07 9.2766463413906e-05
DNAJB1 -1.72445340252226 4.99206203574795 26.3133223087566 2.90279404081178e-07 9.41956666243423e-05
GALNT13 1.42961951826455 7.79037153480975 26.1207300070436 3.20722141202293e-07 0.000102248469296984
KCNJ2 -2.61920837970277 3.24189319238379 26.0027940785576 3.40923594497884e-07 0.000106814888951992
LINC01194 4.5587577583489 2.10450017860446 25.7864732214355 3.81351783869039e-07 0.000117456349431664
LINC02228 2.87926343874995 1.79460057589539 25.5762980080396 4.2523077104688e-07 0.000128788226191065
PPP1R14A -2.88508014871374 1.57170639181679 25.4430480416162 4.55636582771208e-07 0.000135357600353719
AL390957.1 -2.27280080993226 5.45613953637301 25.4170482884431 4.61818799357834e-07 0.000135357600353719
ACTN3 -2.76592133511707 1.81998440052663 25.2287400625994 5.09177514181958e-07 0.000146869425201818
AL590807.1 2.0342469874156 2.29844014566897 25.1790915787544 5.2245553524936e-07 0.000148344718539865
BAMBI -2.85878310235356 3.8496729282393 24.9530317440637 5.87440815330491e-07 0.000163535632720217
LINC02335 3.05939428699608 0.449661164728283 24.9317701433218 5.93955082518948e-07 0.000163535632720217
SPTY2D1 -1.8935280982546 5.62007092600426 24.7915668402012 6.387632274659e-07 0.000172963418024569
ERC2.IT1 1.6825630658122 1.32446539863461 24.7661777526381 6.47232689063984e-07 0.000172963418024569
AC112770.1 3.59856073564971 1.08476474319318 24.6440094677991 6.89587787055383e-07 0.000180126022794996
LINC02476 4.19702508967899 2.86270800754148 24.6321074994792 6.93859872091664e-07 0.000180126022794996
AC084740.1 4.25500409891574 2.22506641284069 24.5136362830626 7.37857837898369e-07 0.000188850037046326
