logFC logCPM LR PValue FDR
AL390800.1 4.81971950657717 5.39701649726595 81.405403776003 1.83854537373926e-19 2.34046826077008e-15
C3orf67 3.34734175692673 4.7358832564691 67.9693210923425 1.66059233407361e-16 1.05696702063785e-12
ALK 2.61129543004991 6.19390839327984 65.5820094095354 5.57453201604477e-16 2.36545975214166e-12
HSPA6 -9.15863082601991 3.80753605721926 64.797377003198 8.30095719770525e-16 2.61743562270353e-12
AC108690.1 3.50174695897143 4.57336589498867 64.3759424879454 1.02805798220877e-15 2.61743562270353e-12
AC068756.1 4.54141457366744 3.26415605256215 58.4934833614244 2.03965414495657e-14 4.32746621088286e-11
AC116049.2 3.65999127991396 6.00416806819388 56.6487741557652 5.21033241340852e-14 9.47536166038435e-11
HSPA1A -2.69412056265673 6.47388592063551 55.4329950568695 9.66996170880344e-14 1.53873265691335e-10
LINC01060 2.87135177656501 4.0344071563536 42.218339120552 8.16309203105594e-11 1.15462401728158e-07
DOK5 2.70986727857318 5.05313124751878 39.9709885682199 2.57762934553173e-10 3.28132215686189e-07
AC079062.1 3.52873109942539 3.33862637985953 39.5283893947386 3.23324691902646e-10 3.7417484799279e-07
AFF3 2.00788207978356 8.02533583821117 39.0823235648466 4.0630608480505e-10 4.14383726109483e-07
HSPH1 -2.02734464787508 6.6516361631217 39.0029173388512 4.23172697519504e-10 4.14383726109483e-07
DNAJB1 -2.1823308447704 5.22202622905084 35.6352484459939 2.3794289235266e-09 2.16358072832097e-06
MEF2C.AS1 -2.71391403567205 4.78189658780289 34.8122717152085 3.63077673247926e-09 3.08131918696407e-06
AC110809.1 3.2671870833137 3.29316587831005 34.4692154851311 4.33046438169489e-09 3.445425723686e-06
AP000829.1 2.03417673326677 6.60257563359045 33.6497517528737 6.59832987565067e-09 4.94098466570783e-06
AC015522.1 -4.02853569785105 3.01288280473682 32.448875241608 1.22369759968668e-08 8.65426135778412e-06
AC010624.5 -4.36221516959738 3.32623543385421 31.6276942768298 1.86747299233791e-08 1.2512069048664e-05
AL583808.1 2.79175621667007 4.73663569249707 30.9289353797379 2.67651361228634e-08 1.70360091422025e-05
LINC02820 3.00882104291375 3.29791881476883 30.3792377712726 3.55310855127532e-08 2.10048750361787e-05
HSPA1B -2.50494167063169 5.87811734265948 30.3376734911442 3.63006481379366e-08 2.10048750361787e-05
IL1RAPL2 2.35427752069123 4.73292227274119 29.2772837113152 6.27267512079869e-08 3.47178931685945e-05
SNX31 -7.48347734027807 2.29047432926802 27.4353147757041 1.62437672125232e-07 8.61596485897583e-05
SNAI1 -5.72308017219165 3.18436373263738 27.0457565999832 1.98695923929916e-07 0.000101175964465113
BAG3 -1.93109655725624 4.74880623658025 26.8229871165613 2.22969282895236e-07 0.000105479789109249
ATOH1 -7.5012841974338 2.29853738119383 26.8164922985239 2.23719898346405e-07 0.000105479789109249
HMOX1 -4.13972348552134 2.61212955173764 26.6320638735751 2.46125040520709e-07 0.000111898991636737
LINC02211 3.84715149683545 4.82793623639135 26.1437797661453 3.16916362219283e-07 0.000139115354863844
ATP10B 2.40280911689264 3.39628632699319 26.0623809824333 3.30562275903173e-07 0.000140268592408247
PLD5 2.86518362537267 5.10021192157653 25.9615565433122 3.48284235691567e-07 0.00014302123614044
AC009264.1 2.52920753986963 5.44303251708542 25.8491898313767 3.69159610517881e-07 0.000146856307559145
GABRG2 2.684703094599 3.60465828833559 25.1280839791167 5.36458679359401e-07 0.000206942999643793
AC078881.1 2.01202957649811 5.27189119079773 24.7199203983377 6.62954041999464e-07 0.000248217792783917
NTN1 2.60696052848444 6.14187719004701 24.2503059206582 8.45936461682009e-07 0.000307679175920342
GABRG3.AS1 2.47412380344811 3.41695497009011 24.0694114595938 9.29247495203189e-07 0.000325571757041531
ASCL1 -1.85794325974015 4.66406877359172 24.0344356775931 9.46280833506414e-07 0.000325571757041531
LINC02050 3.73874498933572 2.61545643839284 23.8895730307877 1.02022861123581e-06 0.000341776584763995
WNT5A 1.95230446812856 4.30411281236432 23.0054525104207 1.61542582282126e-06 0.000527291557038836
GABRG3 1.94592704141618 5.37771108453046 22.9027231459633 1.70410261609199e-06 0.000542330657571274
LINC01967 2.57307600197967 5.26119710777428 22.8520533121491 1.74962314370808e-06 0.000543236649253752
ANGPT1 1.48535302538091 7.57741868259016 22.665590543139 1.92789546762745e-06 0.000584335935783271
AC008571.2 -2.93060302634957 2.98267869124919 22.2971522361765 2.33552707685327e-06 0.000691424643914934
IER3 -3.91680156530845 3.90501914906715 21.1682066895474 4.20685630363614e-06 0.00121284584888738
RGS16 -2.98889412363609 3.80516593347473 21.1318808281949 4.28735767477863e-06 0.00121284584888738
GADD45A -2.41471451216957 4.59364720179685 20.9648576392607 4.67785795005985e-06 0.00126992514440435
CHORDC1 -1.70873973569023 5.85034440088032 20.9604440161071 4.68864743024388e-06 0.00126992514440435
GADD45B -3.11139497983736 4.07150402990408 20.6329679555533 5.56298685268988e-06 0.00147535047155713
CDH6 1.81204974500205 4.38552065655331 20.5268752576825 5.87998500620281e-06 0.00150976575660225
MYBPC1 -2.27970524075724 5.58570383265874 20.5106779611456 5.92995191124213e-06 0.00150976575660225
SULF1 -2.8782938052151 3.21337541789265 20.3327066605614 6.50785947224345e-06 0.00162441276630704
AC011632.1 3.24630830293061 4.25046314828075 20.1537373760566 7.14604831184554e-06 0.00171863875045657
CHRM2 2.01770103814318 4.22904450177218 20.1512440249453 7.15536950307922e-06 0.00171863875045657
LINC01362 1.98598491269698 5.33418184509955 19.8811414219354 8.2409261893944e-06 0.00194272204427761
SOCS2 2.35020701463422 2.97484483042166 19.3316790162856 1.09868335994431e-05 0.00249875722417813
SPRY4.AS1 1.51799040214624 5.38282710162505 19.3307506872482 1.09921763200295e-05 0.00249875722417813
AC011029.1 3.12709622311884 3.31511330110742 19.1865030275426 1.18548631305254e-05 0.00264758609915067
NTM 1.29194380623696 7.24547154033436 19.0136924928568 1.29783792324615e-05 0.00284853047636612
SORCS1 1.41625739220276 7.07563403589421 18.928517834604 1.357087814593e-05 0.00292808947114727
LINC00276 1.82544961996021 4.12860804751839 18.4829787405925 1.71428497437238e-05 0.0036371412872934
FTL -2.21754385550243 7.4052556724014 18.2439275025012 1.94344541446026e-05 0.00401721441658954
