logFC logCPM LR PValue FDR
LINC02027 5.0255416625824 3.00539190617967 56.6519028222084 5.20204911286031e-14 5.24639491130653e-10
CSMD1 4.29010181872245 7.97713414391215 56.2066201426842 6.52414961301564e-14 5.24639491130653e-10
DSCAM 2.30953638194854 8.00646349833713 54.275038359968 1.74301966424686e-13 9.34432842002741e-10
LINC02050 5.09838090352125 2.84851228108456 50.1894393164488 1.39597066916632e-12 5.61284906805047e-09
PCDHGA3 4.02608299920867 2.16604980780401 47.4918127517778 5.5234150428717e-12 1.77666168269011e-08
FTL -2.67321635985604 8.43996064578328 46.6533216582654 8.47232492569806e-12 2.12578052409594e-08
AC015923.1 1.90687474415031 6.11858191512723 46.4807501768861 9.25229352028327e-12 2.12578052409594e-08
PLXNA4 2.89407867433408 6.40168895374328 45.8909796358731 1.25020298702747e-11 2.51337683004536e-08
CDH18.AS1 3.56155675244744 2.77869484260977 44.7119838344178 2.28255986096591e-11 3.70130550195815e-08
AC005828.1 2.28357625564302 3.0199735871692 44.6959082672173 2.30137754272098e-11 3.70130550195815e-08
SCN2A 1.84594875464268 6.66450276730703 44.4330108251599 2.63211226716268e-11 3.84838741752522e-08
CHRM3 3.04221776620039 4.95158059988726 43.52675833992 4.18201667470252e-11 5.60494784827006e-08
CNTNAP4 1.89966436119396 4.73139120603332 40.1966629120816 2.29640183542926e-10 2.84100236301606e-07
HSPA6 -9.52853862050432 3.84170081780773 40.0073433429163 2.530099151815e-10 2.90654176133148e-07
AC077690.1 2.0607598184426 3.56190954363714 39.3694451096883 3.50742592392203e-10 3.7606620756292e-07
CHGA 2.03826309823699 4.35816111866166 36.9493304870859 1.21239318123543e-09 1.21868247086309e-06
AL162493.1 4.0154827427846 2.8564609550932 36.2065921651403 1.77469218021675e-09 1.6789631961427e-06
PODXL2 1.78789290423158 6.0010628608485 34.8819470601064 3.50314007235346e-09 2.91533421127161e-06
ATP8A2 2.02716182609227 7.04879109281134 34.8449255946711 3.57038912002733e-09 2.91533421127161e-06
ADM -6.82032918281152 1.2906025972958 34.8151778138778 3.62536120284973e-09 2.91533421127161e-06
DMD 1.63683953173489 7.53385423493572 34.5369617260045 4.18233616162282e-09 3.20307202320856e-06
LINGO2 2.56910584453273 8.01394806164445 33.243912957472 8.1293825852757e-09 5.94294818722678e-06
PDLIM5 -2.69333556783168 6.57242732537788 32.9125973798093 9.63965965359053e-09 6.74063679168245e-06
TUBB4A 1.85118183988741 4.3298998531863 32.4149932959933 1.24522008719906e-08 8.34453110934271e-06
LRRC7 2.06771589906139 7.45833771490359 32.0526650439692 1.50049111887228e-08 9.65295946592917e-06
PTPN5 1.93665453331744 4.30103381120175 31.6114486223682 1.88316100244671e-08 1.16487993855194e-05
C4orf50 2.09265166853856 2.17482912915991 31.442790551079 2.05403864470012e-08 1.22352235269304e-05
AC093791.2 3.25584515412181 1.49020174197229 30.8411671635044 2.80033815097088e-08 1.60849423150231e-05
LINC02231 2.54995009553305 1.85814696577366 30.2398046605592 3.81792903605809e-08 2.06511957127923e-05
VGF 3.6928527576183 5.47434008420945 30.2225147122618 3.8521163426212e-08 2.06511957127923e-05
AL513166.1 2.19580605013582 6.16820859141336 30.129080738215 4.04224016085076e-08 2.09714027441816e-05
BTG2 -2.34527846587708 5.16494994976222 29.8369707087246 4.69944457369219e-08 2.34844369999006e-05
GADD45B -4.85457727042435 4.31406123923486 29.7883989352036 4.81866828947784e-08 2.34844369999006e-05
ABLIM1 1.5236314943081 6.33293383063074 29.6401621631191 5.20159512245342e-08 2.4605074810123e-05
IER2 -2.5887779474486 6.78616097894373 29.5212134683879 5.53080239492449e-08 2.54148271193059e-05
PLAG1 -3.39699835351302 5.68457037336045 29.2609923507784 6.32563551058847e-08 2.75516147903752e-05
PDK4 -6.97438937530918 1.4233499820439 29.257076987239 6.33843031302544e-08 2.75516147903752e-05
CEBPD -4.35458926410469 1.89617073115333 28.9685149518693 7.3564303952281e-08 3.11351236964351e-05
PCSK1 2.15172852843868 5.2823752351264 28.8942195446343 7.64406939231462e-08 3.15229661632297e-05
UNC5D 2.71060550733869 7.73585431553858 28.8363734951245 7.87580485620491e-08 3.16666423755859e-05
MEIS2 -2.29576669072689 9.94550774476196 28.7095183837789 8.40894105099611e-08 3.19079455307956e-05
SGCD 2.51065127453957 6.05976058238141 28.7039722066255 8.43305794847133e-08 3.19079455307956e-05
BMP4 -5.1860735297428 1.83522073059823 28.6816092603252 8.53100576897477e-08 3.19079455307956e-05
AC005972.3 2.38929616457543 3.25656809877692 28.1515047732362 1.12180417462459e-07 4.10044921374711e-05
NEGR1 2.80610135665568 9.25366534874703 27.9496364273185 1.24514351158349e-07 4.45014291039941e-05
NLGN3 1.60513121390347 4.12824030426547 27.3926373700178 1.66062285330051e-07 5.80604290209394e-05
C1QTNF4 1.75691181934866 4.24184188797357 27.1406171560473 1.89181143174439e-07 6.36641713078608e-05
TPT1 -1.99239520921446 8.71650771237342 27.1237887409625 1.90835118866649e-07 6.36641713078608e-05
ROBO1 2.30249037806256 10.8229978930146 27.0473015817747 1.98537179497029e-07 6.36641713078608e-05
VWC2L 2.48139673369078 3.48213008316161 27.0069115665836 2.02729269886054e-07 6.36641713078608e-05
GLRA3 4.01368840051145 4.52475782147418 27.0046031025585 2.02971528555314e-07 6.36641713078608e-05
BCL2L11 -2.10183767321749 4.60305566284544 26.9774705560083 2.0584075781936e-07 6.36641713078608e-05
SLC25A32 -1.69795535539943 5.29602986196777 26.7684224161126 2.29354716893722e-07 6.95983379585231e-05
CDH18 2.72448555013356 8.992829136471 26.6598882525699 2.4260600763951e-07 7.22561559419674e-05
AC068931.1 2.75985134239061 3.97460394080526 26.594307060631 2.50982219735471e-07 7.3391764363738e-05
RPS12 -1.94184850074759 9.10561481655526 26.4778032177879 2.66583752515426e-07 7.5830437082386e-05
CES4A 2.13851273935793 1.92333402126342 26.4621568365716 2.68751782235653e-07 7.5830437082386e-05
SCN1A.AS1 2.23749111663542 5.98130958548979 26.2922046920639 2.93470823877135e-07 8.13774355244131e-05
AC015943.1 -6.73626432059654 3.23459117829239 25.9452743058957 3.51234192341917e-07 9.53020874549622e-05
SNAI1 -4.94637881909575 3.64254592241652 25.9217611856484 3.55538472131924e-07 9.53020874549622e-05
