logFC logCPM LR PValue FDR
NLGN4Y -4.51745158280038 6.6983735347005 29.5346542225808 5.49258081062155e-08 0.000590134884486832
TTTY14 -4.43109915451183 6.6670302955332 29.3161234472864 6.14819903617057e-08 0.000590134884486832
KDM5D -5.23731000714184 4.66393144822308 26.6467713667469 2.44258611934327e-07 0.00156301085776776
ZFY -4.46809790930287 4.74606698215713 25.9962944015278 3.42073308668537e-07 0.00164169532662747
LRMDA -3.52743843859459 5.27606294821875 25.5308495300272 4.35365815663002e-07 0.00167154351265653
UTY -5.36135124913784 7.96163400576608 24.7814507529057 6.42124420529507e-07 0.00205447708348416
ZNF728 5.31504848708594 1.91219517292762 23.8770006389569 1.02691346427345e-06 0.00281623682480821
ZNF208 4.37897190212935 4.09189901312369 23.5344584641346 1.22696503529549e-06 0.00294425597282095
USP9Y -5.14191596738081 7.66553391190179 21.9853607931216 2.7473802926997e-06 0.00586016216432847
TTC6 -3.67809589207433 4.04768860844372 21.5740486953695 3.40427068313393e-06 0.00653517843041221
AC068446.2 4.04148815003316 0.352611060987336 20.7892616561538 5.12696293664692e-06 0.00894748249952826
AC098617.1 3.88549098832956 2.90403871351852 19.2833858321995 1.12682613068897e-05 0.0178641713074798
AC068756.1 3.31867515867204 2.33913671202124 19.1210747145123 1.2268269896415e-05 0.0178641713074798
PRKY -4.76914361511519 4.60252362171913 19.0064118200824 1.30279938690794e-05 0.0178641713074798
GRIK4 -2.21619524221988 6.18299588978482 18.1217797278663 2.07217656172529e-05 0.0265197156369603
NNAT 3.85325029139845 8.03612319384506 17.5086118919137 2.86009235562934e-05 0.0330722570129353
ZFY.AS1 -5.6381898007047 1.95559508231397 17.4635258599697 2.92873037047403e-05 0.0330722570129353
RELN 2.01499573199109 4.28906629031645 16.9649346775772 3.80766018995991e-05 0.0406086959259224
LINC02484 7.78652563242919 6.24397033026808 16.290253769889 5.43427410511519e-05 0.0524687828820982
AC011451.3 2.51032586235288 3.41393350279147 16.0996763723372 6.00943046946393e-05 0.0524687828820982
CAMK4 1.39514356494355 5.05158324628581 16.0725410093188 6.09616057330365e-05 0.0524687828820982
AC092598.1 -2.48790368107704 2.2175143148789 16.0617240451766 6.13108372022099e-05 0.0524687828820982
AC016687.3 6.87522693689577 5.48333275275099 16.014384372581 6.28630518460311e-05 0.0524687828820982
FYB2 -3.61627251420918 5.8563488368239 15.5011318554847 8.24558658117761e-05 0.0659543856661944
NR2F2.AS1 -2.50876643783534 7.96785330450166 15.1672031903132 9.8397690708622e-05 0.0750882268403453
HS3ST5 3.15863765289785 4.88566706013828 15.1049205350078 0.000101697864137572 0.0750882268403453
TMEFF2 3.38480234281027 5.56611802308933 14.9335655620259 0.000111363887598701 0.0791797240826763
AC010889.2 -4.7226870262544 1.49419090633063 14.8547715964585 0.000116113952196854 0.0796085550115356
DDX3Y -4.69932434650534 6.03620553243063 14.702694771363 0.000125866398749213 0.0833192157513326
AL139246.5 2.95675506628505 3.99411840201738 14.1190488651987 0.000171597233931407 0.107997615939247
PCSK1 3.62266122072142 3.28809629588075 14.0885911034027 0.000174398400485319 0.107997615939247
AC012409.2 -2.34097513365129 6.3581481568204 13.9858676440423 0.000184189887189831 0.110496664511975
AP002449.1 2.0035867233779 1.16091928705262 13.5844667608611 0.000228064894511313 0.126063233112366
ZNF736 2.89236794883584 5.07162576616089 13.5376762514719 0.000233821720480298 0.126063233112366
AL392023.2 -5.09075997526913 2.1170886938684 13.5023278441589 0.000238267695078265 0.126063233112366
AC105411.1 -3.38975227048819 6.97850040882842 13.4793347718949 0.000241205302137557 0.126063233112366
FAM71F1 -2.77617872291711 1.96931603779639 13.4539335216637 0.000244493035423895 0.126063233112366
AC004875.1 3.98296925807791 2.98501424038936 13.4156089747708 0.000249539139358748 0.126063233112366
ZNF560 2.86351977734275 2.12235724310158 13.2422301938154 0.000273712058789875 0.131814749865875
CYP27C1 -1.84181474450874 3.76948594726457 13.1792606562097 0.000283064413069007 0.131814749865875
UNC13A 1.90257479238797 3.33310818154192 13.1089936095978 0.000293881518723978 0.131814749865875
AL355835.1 -4.86156586946587 0.532433831987964 13.1023674485529 0.000294922828939388 0.131814749865875
TBL1Y -4.48601832837853 4.36886203970205 13.0718277116807 0.000299770481580309 0.131814749865875
TMSB4Y -4.54862523317485 0.241521974763129 13.0293144592547 0.000306652783302669 0.131814749865875
LUCAT1 -2.04146924688704 5.6492659276775 13.0151010165576 0.000308989099544949 0.131814749865875
AC073332.1 1.78554584345487 1.90016462790786 12.9496190656944 0.000319986598216543 0.133538754912239
TNC 3.16512258843832 3.78602548014923 12.6810684239444 0.000369376444060365 0.150870629715464
