source	target	coef_mean	coef_abs	p	X.logp	morphogenesis	tubeDev
YY1	ADAMTS3	-0.04160108	0.04160108	3.35187091754935e-07	6.47471271464661	0	0
YY1	ATP8A2	0.029379627	0.029379627	0.00952298014478646	2.0212271211638	1	0
YY1	CELF4	0.014489869	0.014489869	1.61451403908935e-05	4.79195817420054	0	0
YY1	CENPU	0.01150069	0.01150069	3.17424142025572e-05	4.49836004560334	0	0
YY1	CLSPN	0.012456592	0.012456592	3.11547513498243e-08	7.50647571055687	0	0
YY1	COLEC12	0.02521516	0.02521516	2.93298167902998e-06	5.53269064984626	0	0
YY1	CRNDE	0.080115706	0.080115706	1.8073348717912e-08	7.7429613717905	0	0
YY1	CSMD1	0.08462826	0.08462826	5.58558958838896e-09	8.25293097805966	1	1
YY1	FMN1	-0.004909535	0.004909535	0.00188125242362935	2.7255529275574	1	1
YY1	FOS	0.018589484	0.018589484	0.000464200160821005	3.33329471341982	0	0
YY1	GALNTL6	0.04641106	0.04641106	0.000268001327718544	3.57186305440625	0	0
YY1	GDF7	-0.03352732	0.03352732	3.39970903950415e-08	7.46855825000038	1	1
YY1	GRM7	0.09639394	0.09639394	0.00197205020793604	2.70508203221834	0	0
YY1	HES5	-0.042966273	0.042966273	1.21178915929941e-05	4.91657293703301	1	1
YY1	HSPA6	0.01492043	0.01492043	1.58784250422009e-11	10.7991925768083	0	0
YY1	JUNB	0.014080091	0.014080091	4.42564867285128e-12	11.3540230652163	0	1
YY1	LGR5	0.0031046744	0.0031046744	0.00623487778981391	2.20517205473229	0	1
YY1	LINC01322	0.027588172	0.027588172	4.37211704837054e-05	4.35930821982824	0	0
YY1	LUZP2	-0.05910675	0.05910675	4.81401518626068e-10	9.31749254403631	0	0
YY1	MCM10	0.014413137	0.014413137	2.04455602436979e-05	4.68940098452696	0	0
YY1	NEGR1	-0.049890593	0.049890593	0.00795244500506854	2.09949932556267	0	0
YY1	OPRM1	0.063929185	0.063929185	1.5873997233354e-09	8.79931369972266	0	0
YY1	PLXNA4	0.028265802	0.028265802	1.57102366095211e-05	4.80381727406661	0	0
YY1	PRELID2	-0.040139057	0.040139057	7.71143325862589e-09	8.11286489581889	0	0
YY1	PRR11	0.00794627	0.00794627	0.00109559489938904	2.96034999829864	0	0
YY1	RALYL	0.08468318	0.08468318	1.58162230333234e-06	5.80089721942411	0	0
YY1	RGS17	0.0222818	0.0222818	1.1706378391446e-05	4.93157744206525	0	0
YY1	RHOJ	-0.009091284	0.009091284	8.45501427772425e-05	4.0728856546858	0	1
YY1	RIMS1	0.02041918	0.02041918	0.00546689337692159	2.26225939625041	0	0
YY1	ROR2	0.030828834	0.030828834	2.14924003732798e-05	4.66771507773081	1	0
YY1	RSPO2	0.08107477	0.08107477	0.00863142177477526	2.06391766105401	1	1
YY1	SERPINE1	0.0023838696	0.0023838696	1.10140788132543e-10	9.95805182017006	1	1
YY1	SGCZ	0.057465144	0.057465144	0.000119058049292858	3.92424123742586	0	0
YY1	SLC1A2	0.09680767	0.09680767	4.45155271847349e-13	12.3514884790313	0	0
YY1	SLIT3	-0.037344553	0.037344553	1.59838685038687e-08	7.79631810195838	1	0
YY1	TMEFF2	0.032362435	0.032362435	1.56481057489402e-07	6.80553822761105	1	0
