logFC	logCPM	LR	PValue	FDR
VWC2	4.25767610188601	5.2843912109333	50.7493650866488	1.04946511648733e-12	1.37973178864589e-08
ABLIM3	3.10552638261346	5.15686533027213	47.7693785863916	4.79421916955046e-12	3.15147997110399e-08
LINC02196	3.94707701119736	3.93562715370671	45.2656441310316	1.72040775399005e-11	7.53940024723571e-08
DGKG	2.69306709863557	3.82944769658085	42.8677726454399	5.85675765011584e-11	1.92496982065183e-07
ARHGEF4	1.94604490666909	4.82610896817542	41.7173329108468	1.054698097065e-10	2.77322317642272e-07
PPP2R2C	2.75809990256885	5.02084974965146	39.4297221427738	3.40080988554872e-10	7.45174126088483e-07
CNTN1	3.05223129059273	8.6611697918418	37.5773201274725	8.78601467315499e-10	1.65013907011384e-06
EPB41L4B	1.61315664173801	5.51370689516558	37.1640674852068	1.08596498746895e-09	1.78464771128179e-06
AL354809.1	2.59342363328037	5.26639385912947	35.6064786663487	2.41483078524836e-09	3.52753114818447e-06
MBP	1.81954409907899	3.71044137660814	33.5521409451552	6.93789666395404e-09	9.12125274410038e-06
HIST1H1E	1.78327661874929	3.9416312545744	32.1114309647166	1.45578231995685e-08	1.73992456004297e-05
DSCAML1	1.71810726093459	8.31461592853227	31.3275889974674	2.17960193903274e-08	2.38793555770528e-05
CCDC175	2.23857129034016	4.37193971547735	30.4779432758145	3.37684068130003e-08	3.41502495669627e-05
UBASH3B	1.58119800863473	5.74921453170383	30.3129887360776	3.67655669050787e-08	3.45254934357906e-05
PLPPR3	-2.42812308989403	5.14842669284933	29.7119092820463	5.0125927542681e-08	4.39337046269085e-05
P2RY1	3.24217048877657	2.56249285904331	28.9737035377786	7.33675242919218e-08	5.91359418894079e-05
SYT6	3.26161272591707	3.31899010601079	28.8935543077345	7.64669515570042e-08	5.91359418894079e-05
MND1	-2.46220380764305	6.06345558359339	28.7620262498182	8.18401347223928e-08	5.97751250664055e-05
ARHGAP26	1.60380554047193	5.85738189071725	26.8404817877479	2.20959931633684e-07	0.000152892643220423
CREB5	1.48267944614019	6.90687934570618	25.6349743803598	4.1249488552097e-07	0.000260347599335994
NABP1	1.91358475956406	3.74302971603672	25.6193002088276	4.15859099874943e-07	0.000260347599335994
CNR1	2.12214913568688	6.96147653901524	25.3264310408755	4.84030550115979e-07	0.000289252256471581
PRCP	1.37911965352472	4.72858459468333	24.8839158388742	6.0888319409892e-07	0.000336657408312199
KCNK12	1.75609623262022	4.09869237523422	24.8659884855356	6.14571978359532e-07	0.000336657408312199
KCND3	1.91775619187848	6.05554536302297	24.1320885586521	8.9948895363553e-07	0.000473023250937853
FAM89B	-2.55714209980903	3.90512766833247	22.8669038660458	1.73615685430819e-06	0.000852869474130604
KLRD1	2.42577778248922	3.89568955924182	22.8499504571718	1.75153843473996e-06	0.000852869474130604
AC099520.1	4.0432683608303	4.67807572762032	22.5735989882238	2.02244838048573e-06	0.000949611744937351
B3GALT6	-4.46520758378118	2.8180800868362	22.389373392124	2.22602266789671e-06	0.000975741626612129
ASTN2	1.93997863045997	7.62154901114903	22.3889318609464	2.22653447922445e-06	0.000975741626612129
TMEM213	-4.39695157172517	2.75149227130008	22.27603064656	2.36135831420752e-06	0.00100144444377052
DACH2	2.32927980713822	8.03462460974519	21.9158852668034	2.8486606486331e-06	0.0011298119681249
PDE1C	2.4033413693443	7.94389021252868	21.9070773511112	2.86176543722512e-06	0.0011298119681249
GRIN2A	2.79005832634828	5.31818524397684	21.7765439894366	3.06322271784692e-06	0.0011298119681249
AC093898.1	3.17913613347065	3.7219060929298	21.7646652877278	3.08224741564996e-06	0.0011298119681249
ZNF804B	1.95415717301875	5.7633727467489	21.7575330696558	3.09372715087063e-06	0.0011298119681249
AC025165.2	-2.07498654100516	3.74753313512451	21.6996547994962	3.18848653283635e-06	0.00113294682289729
GRIA4	1.67955947222165	8.44418530618823	21.6295529854001	3.30716704460694e-06	0.0011441927667223
LINC00476	1.27739153347519	5.33517866132622	21.4458588213224	3.63961226454988e-06	0.00120978265392938
TTC3.AS1	-2.61245364195446	3.63584588729573	21.4242889449583	3.68078695954782e-06	0.00120978265392938
HIVEP2	1.51442811145484	7.44639985695425	21.3679208006507	3.79060839502813e-06	0.00121549094071792
NOSTRIN	-2.97790568827391	4.30099027813066	21.224505832148	4.08507888924562e-06	0.00127872695611696
CYYR1	1.5462270181126	6.07819320916598	21.1119390564146	4.3322058449357e-06	0.00132454674984581
MFSD2A	-3.70846253887019	2.9855151302486	21.0511157875644	4.47192363501238e-06	0.00133619045521609
CDHR3	2.2843302673823	5.95160080052245	20.9023849429015	4.83292498835708e-06	0.00141196588493179
AL110292.1	2.97620597392407	5.78431788452053	20.6979258900519	5.37742181271612e-06	0.00153689053416911
KLHL32	1.52643662614351	5.82380578358016	20.6157424317099	5.61326415527106e-06	0.00154086614408134
XACT	2.86292892291566	4.49101389439559	20.6114928060933	5.62573780451088e-06	0.00154086614408134
CADPS2	2.55568802328879	8.37406855217061	20.5108008486136	5.92957121680402e-06	0.00159094026096576
AC005041.5	-3.49465321666501	2.80647753193898	20.4419397016723	6.14678842164677e-06	0.0016162365475878
CPNE8	3.21666550286304	4.71790147424682	20.1020454322143	7.3418115244445e-06	0.00188856499727943
HIST1H4E	1.82890442312503	3.23970150564737	20.0689939296269	7.46979385856318e-06	0.00188856499727943
DDX41	-3.2134704458495	2.53892425205346	19.898893477945	8.16475682855821e-06	0.00202532184952934
AC078983.1	-7.19737990456817	2.21425458930487	19.8057820331096	8.57229698128024e-06	0.00208703682246095
MTRNR2L8	1.79678072432472	6.63969165059341	19.5337648877331	9.88371436692862e-06	0.0023625671414911
ADAMTS5	1.82128701112035	3.92119081721621	19.4209330838259	1.04851484593385e-05	0.00243063304753231
RNF217	1.31593443261303	5.56571247003151	19.4112891809051	1.05382280147061e-05	0.00243063304753231
SGO1.AS1	1.61924904946193	5.92591503787606	19.2500444262804	1.14667709898916e-05	0.00259920065869145
NHSL2	2.17068841356316	4.07708380063657	19.1333629794253	1.21895376436289e-05	0.00271620087119982
KCNJ3	2.65328550028497	6.20279766826314	19.0437634454679	1.27754609626744e-05	0.00276022795691413
SOCS2.AS1	1.52182430043232	3.1948612309132	19.0390551179852	1.28070210216598e-05	0.00276022795691413
COL23A1	2.78096297844475	4.51837341144714	18.980919139558	1.3203221422114e-05	0.00279972180704084
AC007569.1	-7.00816920251875	2.04148823339189	18.9216527872618	1.36198002195544e-05	0.00284221449978543
TAF10	-1.77261362561294	4.29826651392641	18.7181235303555	1.51535357787397e-05	0.0031128677325483
SPDYE5	-4.12174552849869	2.5214292728449	18.5012367283558	1.69794086422408e-05	0.00343428131414677
MT2A	2.51834235242501	3.13412850200972	18.4388944630095	1.75440260745145e-05	0.0034749937439046
LINC01828	2.39835461955332	2.99178686533595	18.4210233229864	1.77093314704197e-05	0.0034749937439046
GPC5	1.61208994937965	6.97783910608915	18.3830954384025	1.80653612480116e-05	0.00349272506364131
DPH6.DT	1.70909681475764	3.68765116781035	18.3050231183199	1.88210246599977e-05	0.00358407339516257
PLCL1	1.7485176029965	8.81765025837885	18.2786829106692	1.90830712452559e-05	0.00358407339516257
DPP6	3.59887014241344	8.38978368278272	18.1730699063983	2.01711013890504e-05	0.00373506295720909
AC116362.1	3.07603707221295	6.1277531450037	17.9352562604963	2.28547952139424e-05	0.00417322212052363
CCN3	2.34379326294238	2.66439575166098	17.8894993326988	2.34109267249086e-05	0.00421621169386813
AC068282.1	-1.74688872951969	5.34490603987046	17.595670503955	2.73209640015215e-05	0.00484944680374872
ABCA12	-7.08205136107673	2.11979179576439	17.5718908857974	2.76647531970148e-05	0.00484944680374872
DACT3	-1.94622974156967	3.86007170629229	17.5297012752747	2.8285435374187e-05	0.00489300814295311
ACSL1	1.07961850671992	5.28191973780068	17.5006659169857	2.87207070448221e-05	0.00490378098075683
LINC01090	2.76950871125858	4.98635174410494	17.473745339522	2.91302877227418e-05	0.00490994734219085
SOCS2	1.7334437472525	2.97134115267487	17.4350448142559	2.97294002624177e-05	0.00494749905379755
SLCO6A1	2.77764008093833	4.32354306661033	17.3773647534033	3.06453914940385e-05	0.00498736569129495
AP000317.1	1.92104101109913	4.59278751764473	17.3594565231626	3.09355143061904e-05	0.00498736569129495
SHROOM3	1.47596986136503	6.77769470092059	17.3443702337441	3.11820613835091e-05	0.00498736569129495
ABLIM1	1.54810914382773	6.79212388149276	17.3219657075546	3.15518553411802e-05	0.00498736569129495
DPF3	1.83955961735411	6.51888053041736	17.3031553872091	3.18657273955105e-05	0.00498736569129495
TOX	-2.26398384435549	8.1491064309818	17.2551577739985	3.26809176760056e-05	0.005054776761017
AC010729.2	-2.29791515255684	3.82460552580395	17.2022319189484	3.36041318838583e-05	0.00513713397531494
PELI2	1.75736227051333	8.35700253470978	17.0977441964113	3.55044507575536e-05	0.00536525303574204
RERG	1.72927721403696	5.01786782006033	16.9178617711384	3.90325622601519e-05	0.00583137609129792
AL606489.1	-2.28969540078986	3.12918479750107	16.7394422685174	4.2880207395679e-05	0.006332758985317
PDZD7	1.93939463845828	2.88963501961569	16.7186829082484	4.33519668881517e-05	0.006332758985317
ELP4	1.46653328633735	8.27697086087002	16.5822505211948	4.65849739934202e-05	0.00671244750780007
CYP1B1	3.23582593675013	4.91131340635813	16.5665469511148	4.69723260605162e-05	0.00671244750780007
STAMBPL1	1.65867956425626	3.6091066859182	16.5259956406483	4.79876301812771e-05	0.00678331935171825
FGFBP3	-3.67471749846497	2.98736088289596	16.4875744955872	4.89699521296868e-05	0.00678331935171825
LINC02021	1.79427967358513	3.02095787642555	16.485786666676	4.90161510925104e-05	0.00678331935171825
AC110023.1	-2.53229098789867	4.67835568084448	16.3653604167533	5.22311239051978e-05	0.00715294360397536
CBR1	1.46438205072865	3.55017595598831	16.1334451937548	5.90322938909072e-05	0.00789560461199421
STX3	1.93292131009561	4.59103143657936	16.1230632842452	5.93567741416368e-05	0.00789560461199421
SNHG31	-3.19754618794486	2.54829791051506	16.1199075899255	5.94557584686565e-05	0.00789560461199421
OLFM1	1.40060874230313	5.24140365439474	16.055586167453	6.15098959449214e-05	0.00808670601987882
XRCC2	-6.62182898030767	1.71390048692885	16.0075868698161	6.30891564002384e-05	0.00817654468496016
AC005692.3	-3.9153871818912	2.33584099816013	15.9915105806428	6.36271603642062e-05	0.00817654468496016
CFAP61	1.77034564852256	4.38710052518056	15.9787042650013	6.40590326729213e-05	0.00817654468496016
ECT2L	-2.91665687082735	3.1816255856446	15.7913033001862	7.07268583376604e-05	0.00894082698620405
GPR156	1.27795068728912	4.53533291610625	15.7121562860136	7.37486748453203e-05	0.00923403645896597
UNC5B	1.68530891832611	5.40869039770678	15.6850875803259	7.48116867506944e-05	0.00927876646897528
ZNF560	2.94772263114584	3.08824919692077	15.617961987369	7.75147592176499e-05	0.0094023506966862
RAD51C	1.21848970529014	3.6710026478259	15.6120705945238	7.77566388512374e-05	0.0094023506966862
LITAF	1.47369071007152	3.61059389876159	15.5950373079484	7.84602448978025e-05	0.0094023506966862
SLC24A2	1.79931034736941	5.28819687273941	15.5900182572889	7.86687895820706e-05	0.0094023506966862
DPY19L1	1.49592974979865	5.9808159919713	15.5294498113664	8.12298571181972e-05	0.0096209813651616
CYP4V2	1.44874954040783	3.78826265497729	15.4973977176525	8.26189163918076e-05	0.00969813298038477
AC013287.1	1.94433221159595	4.36925200200057	15.3611831380971	8.87937990533501e-05	0.0103307263376495
AC015574.1	3.98884248332501	4.26737758601812	15.306200960545	9.14159358513576e-05	0.0105124304833785
FBXO17	1.67494359385956	3.25892875236037	15.2950989375835	9.1954780983382e-05	0.0105124304833785
FHL2	-4.53420936805204	2.88906679884524	15.2320029107802	9.50784637356288e-05	0.0107157495935419
CAV3	-2.87029514673182	3.11785111119054	15.2263514709897	9.53634062861793e-05	0.0107157495935419
SEMA3F.AS1	-3.03809558353214	2.39478970258665	15.2071418213089	9.63383868669868e-05	0.0107335658655956
HCN1	1.63061349336064	6.4881538794915	15.1647258258645	9.852687735718e-05	0.0108263980601398
AC016152.1	1.9046708259988	3.17173886749539	15.1369860014727	9.99851294744843e-05	0.0108263980601398
PUS7L	1.45427992413879	5.53706569977173	15.1293154237159	0.000100392183303746	0.0108263980601398
