logFC	logCPM	LR	PValue	FDR
AL110292.1	3.6896614632952	6.78057473029529	118.501392640104	1.34659582451985e-27	1.84254706669051e-23
HS3ST4	2.59165133937974	6.89657465532278	55.6431135453318	8.6896801326355e-14	5.94504466274258e-10
LINC01090	3.59209260544854	5.47744683127917	46.6516648420725	8.47949109042754e-12	3.867495886344e-08
C15orf41	1.40340716177999	7.35888571782061	40.5776778811335	1.88952962579642e-10	6.46360846744311e-07
ONECUT1	2.08336410058183	5.02001130915859	36.8434502458128	1.28005400079554e-09	3.12846819430458e-06
AC007389.1	2.46825048580305	5.53588122071228	36.7084512199887	1.37183433207831e-09	3.12846819430458e-06
HHLA3	2.06440770190348	2.41569629722989	34.5033961654273	4.2550825172066e-09	8.31747058327684e-06
ANKFN1	2.03997867595989	5.32952294794341	34.141065329208	5.12580498847496e-09	8.76704870716286e-06
PRICKLE2	1.32173242928245	8.09433239059713	32.8201875753481	1.01089555336485e-08	1.39019024930554e-05
SLC24A2	1.43212881437678	6.17959575376944	32.8104001563361	1.01599813586607e-08	1.39019024930554e-05
ARHGAP22	2.57105180844163	2.90419036005739	32.2777760661873	1.33633056771261e-08	1.66227374163743e-05
GTF2IRD2B	-1.73981118984897	4.66772972481209	31.3709977800832	2.13141045246928e-08	2.4303407684281e-05
MND1	-2.26850098850186	4.46795877596217	30.0572488495962	4.19477557434486e-08	4.37032189972127e-05
AL136441.1	1.97833537489854	2.30497883512916	29.9333415863493	4.47157104407643e-08	4.37032189972127e-05
DGKG	2.09015209854399	4.30889244163236	28.0297889743484	1.19462267469399e-07	0.000108973480385586
EPDR1	1.64176791937813	4.38132687248961	26.4676616128751	2.67987009028382e-07	0.000216527927311157
GLRA3	1.53532720812866	4.89210683894231	26.4602435342902	2.69018107453751e-07	0.000216527927311157
ANO5	1.2480174954552	6.93571039980375	26.318584936931	2.89489514092893e-07	0.000217910266138688
AC013287.1	2.32579620208622	5.36182325782101	26.2331287522805	3.02586790662507e-07	0.000217910266138688
ASIC2	1.8636582314176	7.37419979606795	24.3508813767435	8.02900002824845e-07	0.000549304036932618
HPSE2	3.60223131925418	3.63442167962341	24.1677018415838	8.83007801019672e-07	0.000575342654350103
ANKRD30BL	3.1548782294235	3.56566121224138	23.6961973125313	1.12805209276964e-06	0.000701597126607591
PTPRB	1.92507201527758	4.21909948615537	23.2059819371304	1.45543894177982e-06	0.000844704088016183
ARHGAP26	1.42104177354348	7.29465302817205	23.1717072783919	1.48161208158945e-06	0.000844704088016183
IL1RAP	1.56612204189665	4.05325654718581	22.9498833427683	1.66280298614875e-06	0.00088310454250081
TPH1	2.42839513603627	3.51494051040002	22.8988448521765	1.70754440006877e-06	0.00088310454250081
PLPPR3	-1.99284107111371	4.59376949595841	22.859797994669	1.74258734543023e-06	0.00088310454250081
DUSP10	1.39159702630504	3.19277538487844	22.2796073965544	2.35696395612161e-06	0.00115179777898614
HES5	-7.99942819374702	2.39633190073124	22.1755589327576	2.48821263428633e-06	0.00117400736120482
GRIK1	1.57377724410401	8.32136483331394	21.8748382596113	2.91025011910876e-06	0.00126324907054472
SNX31	2.33838369432804	2.44157996272389	21.8713055657966	2.91561282548036e-06	0.00126324907054472
