logFC	logCPM	LR	PValue	FDR
PDE4B	2.93474899184027	6.7680926526751	56.9000434798988	4.58535703931205e-14	1.55333555063735e-09
AC023796.1	5.2799862178839	2.98374412719645	49.9619006072599	1.56760423604396e-12	2.65520805501126e-08
CAB39L	2.52693058631892	6.7221288370945	43.5970736071887	4.03441891140194e-11	4.55566583475507e-07
LINC02814	3.28924869004566	4.56589674388673	39.6742730777143	3.00052172778622e-10	2.54114185126215e-06
ERVMER61.1	2.85167491488989	4.8738005601353	38.0219620790655	6.99527651287659e-10	4.73943974300415e-06
KDR	4.33179548081135	3.40771459207848	37.1200398297305	1.11076303306493e-09	6.27136808468458e-06
SEMA3A	3.08464897410778	5.92303028180105	36.2138206642495	1.76812170880297e-09	8.5566987153442e-06
AL110292.1	4.81810805383945	4.20505198113499	34.9733711996151	3.34245280537362e-09	1.41536164043546e-05
MT2A	2.70044998908133	4.7207048812326	34.616466172991	4.01495679743329e-09	1.51122973855389e-05
GAS1RR	3.1081155550939	4.54884684211906	34.1078543264071	5.21403821417254e-09	1.76630758543309e-05
AC079160.1	3.80825588701095	5.11294098411221	31.089056584339	2.46456969201108e-08	7.58997844423339e-05
TPD52	2.74692150064359	4.0052810082818	27.9264067760305	1.26018162128751e-07	0.000355749271689465
COL28A1	2.50350095763434	4.17354647570739	27.0913919913252	1.94060141072185e-07	0.000505690872227795
SPATA22	5.79650448980434	1.50887206103578	26.4494932903492	2.70519431571592e-07	0.000654579733137091
LINC01411	5.28525515852326	2.4150307846267	26.2967790522305	2.92776548487766e-07	0.00066120655710477
PAMR1	3.02265419705273	3.16438412788154	26.0550824092923	3.31814234490251e-07	0.000702533687974485
C5orf67	5.37953066811437	1.76158859469327	25.3899696666258	4.68346969677775e-07	0.000933277761459077
IGFBP3	2.54912377261347	3.84641668929588	24.7669829845571	6.46962353344393e-07	0.00117358144316267
SLC35F4	-2.89490541899726	5.34530011738011	24.7337166068658	6.58225511279096e-07	0.00117358144316267
HPGD	3.0174063001951	3.67124673414849	23.3681149812671	1.33777704626696e-06	0.00206838226493928
DACH2	1.95326821057722	6.53093019010513	23.3642110547652	1.3404948634598e-06	0.00206838226493928
AC092535.4	2.86997184440781	3.50086218410014	23.3602416289675	1.34326395762971e-06	0.00206838226493928
SYNM	2.69797362411664	3.54163186215762	23.1590128602997	1.49142526932506e-06	0.00219667488798504
MT1X	2.94843007264928	3.29992950677078	22.674543146136	1.91893375691083e-06	0.00270857499787964
SPARCL1	2.042242344972	7.1494959346429	21.9084907587652	2.85965844260876e-06	0.00387495157607258
CYTOR	2.61697689346481	4.25063820305426	21.7637611388051	3.0837003289603e-06	0.00401782432091765
MIR4713HG	3.84382818620152	3.6959418416093	21.5706557122403	3.41029858689976e-06	0.00427878796036357
RGS5	2.07538754821768	4.77161514518237	21.2909922973607	3.94581288178289e-06	0.00477386989940276
ABI3BP	2.39256563355137	3.99889113666942	21.0242321844561	4.53511088012192e-06	0.00529763504051759
AC009229.2	2.74147491605836	4.18846561388908	20.9441686209987	4.72865033251388e-06	0.00533959195547468
CCBE1	2.39268728810215	4.95301981380214	20.2410945084237	6.82705206084689e-06	0.00746042631010481
LANCL3	2.20175882349697	4.40812417665299	19.9537438055611	7.93384524470686e-06	0.00835648895022757
AC016745.1	3.17104803101411	3.55943111213165	19.9046055688111	8.1403983751774e-06	0.00835648895022757
SERPINA5	6.29221618018959	0.819825301589759	19.8217840265724	8.50083197775968e-06	0.00846982894348785
TNFSF15	5.45020853560831	1.24561224294388	19.7310640962044	8.91405475528368e-06	0.00862778625399972
GRID1	1.96966737828793	4.72252332882439	19.5932747696389	9.58058424997288e-06	0.00901532977922448
AC068756.1	3.91287207598046	2.30676523019	19.4654671881374	1.0243495779294e-05	0.00937861251403681
SLC16A9	1.73696445141429	6.79846241302091	19.1834655678376	1.18737418922687e-05	0.0105851284300656
LHCGR	3.86611737913485	1.71816567173481	19.1136447095108	1.23161222803048e-05	0.0106979732914771
KCNQ3	2.45688111488084	7.28108951873904	18.898392950505	1.37868762451854e-05	0.0112261905429123
CDKN2B.AS1	2.62968853756893	3.17125471976492	18.8627174895598	1.40471427145198e-05	0.0112261905429123
AL158167.1	3.12775216440941	2.55525386569032	18.8567954740306	1.40908212088486e-05	0.0112261905429123
AL445250.1	3.45875176918957	2.1570131398897	18.7624923318339	1.48050354659559e-05	0.0112261905429123
DGKG	1.96162846871045	5.23035477836054	18.7519929115638	1.48867704459737e-05	0.0112261905429123
ASIC2	2.47115731306845	3.69499715320775	18.7486894675461	1.49125804236348e-05	0.0112261905429123
LINC00906	5.30008016880361	1.12879785470819	18.370669086949	1.81835644611187e-05	0.0133910093409752
U2AF1	-7.25815388680971	2.55734967814852	18.1613235720975	2.02959007937331e-05	0.0146285943678405
AC092445.1	2.46223203768139	3.17201905711757	17.7664464676318	2.49749114806696e-05	0.0176260437774826
CYP1B1.AS1	2.2169090631418	5.20849719435512	17.5127389653772	2.85389072285263e-05	0.019426745066706
COL15A1	2.8068219209138	2.97149783658608	17.5038056665226	2.86733160153295e-05	0.019426745066706
LINC01535	3.02295006475159	2.84307533337246	17.4070779896979	3.01700408317603e-05	0.0200400059454257
ASPA	4.94123384158995	0.694704178986072	17.3498877432556	3.10916634902827e-05	0.020255022930708
SEMA3B	1.99078457806706	4.17323917953592	17.2969605109417	3.19697815121927e-05	0.0202976978850243
CALCR	4.39287710561636	2.46587900577115	17.2688932500828	3.24455170282204e-05	0.0202976978850243
CCDC190	1.88634160218608	4.53506162063024	17.2393073397954	3.29546990104007e-05	0.0202976978850243
TM4SF18	2.88109070905062	2.83063075751205	17.0384884953892	3.6629757563168e-05	0.0214253067693169
TENM3.AS1	-2.55715601422143	4.50851924730245	17.0040851753038	3.72994799124821e-05	0.0214253067693169
