logFC	logCPM	LR	PValue	FDR
AC005906.2	4.48099834416274	1.54069278100518	31.2882230337591	2.22424829437279e-08	0.000753486352201727
CLEC14A	5.8555731470954	-0.31231236222215	28.713134396825	8.39325447419457e-08	0.00114309163141524
CYP27C1	-4.20421564785303	2.88985294251636	28.2425948899094	1.07023285382104e-07	0.00114309163141524
HFE	4.13404265689002	1.38406888515768	27.7935747686267	1.34973625152349e-07	0.00114309163141524
ADRB2	3.89440125057268	0.887929010285539	27.1377268490941	1.894641907605e-07	0.00121525714298061
PCDHGA3	4.74884594599568	2.55208604357472	26.8911509089683	2.15242143638081e-07	0.00121525714298061
MIR4307HG	6.52350777892502	0.0711482854683727	23.5663674191046	1.20678503295253e-06	0.00554010210118542
LIN28B	-2.5331528920907	3.9760542288416	23.41093813219	1.30832497371246e-06	0.00554010210118542
LIPG	-2.43163904356847	5.05580960276019	22.8816327487823	1.722903583076e-06	0.00637893233403028
CHI3L1	5.46309708653749	0.793272368667743	22.592177920694	2.0029844356199e-06	0.00637893233403028
PLAAT4	4.16899089439765	1.09128047258047	22.5072212001522	2.09355104763231e-06	0.00637893233403028
CYP1B1.AS1	2.63395292770231	4.19230824508094	22.3605958978633	2.25962888205111e-06	0.00637893233403028
CHI3L2	6.39880437931185	2.19800538699422	22.022964138752	2.69407774347935e-06	0.0067965795615239
ITPRIPL2	3.10923487615556	1.76642201603087	21.847258879209	2.95238060545587e-06	0.0067965795615239
CLEC1A	5.2928065676322	0.0321315187171865	21.8105127532914	3.00946668505309e-06	0.0067965795615239
HTR7	5.3428410790831	1.42075005809427	21.5362763131152	3.4719836464468e-06	0.00735105737543949
TRIL	2.389142119558	3.30969377883334	20.7885525101663	5.12886172287729e-06	0.0102203129249524
AC060766.6	4.0435486202845	-0.0516728633529552	20.5557298467078	5.79201635067199e-06	0.0104697795293149
SELENOP	1.76852361718197	4.31057601594681	20.4765561687235	6.03661299939793e-06	0.0104697795293149
IL1R1	3.64478554780739	3.26894454693646	20.4312438187749	6.18123717635781e-06	0.0104697795293149
AC010524.1	-6.1839908355379	0.693811093603265	20.2543038072477	6.78007662086549e-06	0.0109372321718304
SLC25A21	-2.72636137180359	6.34975452278112	20.0018786312901	7.7366118087191e-06	0.0119129755287349
SLC1A1	1.83897113848727	3.58853115857443	19.8800314701612	8.24571232600858e-06	0.0121448587285159
LINC02607	3.33587707043109	1.03095002066063	19.4226777174879	1.04755747977331e-05	0.0147575185534035
TNFAIP2	3.81406353822429	0.929126342494761	19.3484368366918	1.0890836103291e-05	0.0147575185534035
APOE	2.77134147092438	5.67319918841347	19.1224977027868	1.22591265736457e-05	0.0159528435120465
METTL7B	5.65643563809554	0.603297057570572	19.0528451907238	1.27148061998245e-05	0.0159528435120465
SERPINA5	6.4958161922791	1.97339616376451	18.8675717733869	1.40114408272898e-05	0.016676785810783
