logFC	logCPM	LR	PValue	FDR
LINC01833	-4.37515700459965	3.68782841431905	82.6616433788815	9.73725456376373e-20	1.09699909915362e-15
AGBL1	-3.42669750179315	4.18582405330863	67.2428117812344	2.40044430765751e-16	1.35217027850347e-12
EMX2	-4.03560183683261	3.63334038271788	66.2337200826243	4.00502035053567e-16	1.5040186423045e-12
EMX2OS	-2.93429593704519	5.46577971882429	64.9326562240796	7.75019782291423e-16	2.05446104524777e-12
LMNTD1	-4.74275610892675	6.7051408337313	64.3418693403023	1.04599146184107e-15	2.05446104524777e-12
MARCH4	-4.51202696156447	4.3711198120164	64.2531719673448	1.09415642388484e-15	2.05446104524777e-12
CLEC2A	-4.02927583873673	4.7743230528871	63.0595075175841	2.00554975866548e-15	2.88152209731246e-12
PAX8.AS1	-3.87276281530571	3.73877132915223	63.0200103100695	2.04617226864013e-15	2.88152209731246e-12
HMGA2	-2.66708314330796	5.82264720058456	59.3735256230181	1.30411782747939e-14	1.63246571604254e-11
WNT5B	-2.85451952249647	4.71503194478151	57.493647005497	3.39072713629144e-14	3.81999319174594e-11
FAM126A	-2.33621166625714	7.25614048709854	55.6196150980366	8.79417493626507e-14	8.35009293593066e-11
ELMO1	-3.07082861630448	5.10184193094809	55.5974005265605	8.89411638835149e-14	8.35009293593066e-11
SOX2.OT	-4.5192498760925	10.0073510409629	53.4004042380927	2.72040870683744e-13	2.35754803778697e-10
FRMPD2	-3.02095003558924	5.33838919626509	52.277080449458	4.81966927283985e-13	3.87845671627241e-10
TACR3	-2.72000683407807	5.33590181462493	47.8293451262978	4.64979980473982e-12	3.49230964001325e-09
MT1F	2.76404669055173	3.97578984421812	46.8880155121089	7.51609242488405e-12	5.29226857867148e-09
SMOC2	2.33062420629137	5.30663760545749	45.2299392043532	1.75206057545171e-11	1.16110084959053e-08
LRRTM4	-2.51992728692663	7.10340821963444	42.5530142797347	6.87921754092165e-11	4.20520448982057e-08
KCTD8	-2.1262395973653	8.79116792263167	42.4934211433199	7.09203668618771e-11	4.20520448982057e-08
GRID2	3.16228702869431	7.4019936294239	41.0808012415024	1.4606407074442e-10	8.22778910503315e-08
AC108690.1	3.35342901288535	5.14956091548428	40.4088761605813	2.0600308841612e-10	1.1051575209981e-07
STEAP1B	-1.93233321723351	7.06165632360177	40.0112702284672	2.52501794012137e-10	1.29303873242761e-07
MT1X	3.09859406895949	4.033128473361	39.6805900828197	2.99083214868912e-10	1.46498760813616e-07
AL357093.2	-2.41250341966284	4.44243540187477	39.2316005942695	3.76398700932972e-10	1.76687823529619e-07
AL110292.1	3.34445033675046	4.13874157599814	38.249616569723	6.22493075716204e-10	2.8052027964075e-07
LINC02050	3.36549850025806	4.15395495166623	36.9806064677554	1.1931006332383e-09	5.16979682079332e-07
MME	2.4400884178272	4.50673339203264	36.4489459555643	1.56717856023706e-09	6.43395772920673e-07
MT2A	2.91218123944761	5.26503305263414	36.4096852560989	1.59906636266455e-09	6.43395772920673e-07
GPR158	3.07903493782753	2.96127510375833	36.1616509127517	1.81609440933416e-09	6.90916551671823e-07
AC125613.1	-5.21159491305053	5.47758200033673	36.136349494449	1.83982749424416e-09	6.90916551671823e-07
SIX3	-3.63491851702888	3.47575823978621	35.8338114212009	2.14886122245813e-09	7.80937759103656e-07
RGPD2	3.56367561199348	2.80456102186168	34.9182660942206	3.4383996614915e-09	1.21053158082385e-06
FRMD5	2.52146820328755	8.61012577619284	34.547212028702	4.16037000316225e-09	1.42032510471594e-06
GABRG3	-2.51577269989464	3.88638112344939	34.4399972160149	4.39596151519588e-09	1.45661477735873e-06
OVCH1	2.52766746751859	3.39021043291154	34.3114137652051	4.69619495717702e-09	1.48872187093659e-06
WIF1	1.74737086447523	7.20998848026587	34.2863180423798	4.75714427070096e-09	1.48872187093659e-06
STOML3	-3.26432468504562	3.57286703546693	33.2939552764735	7.92285273173546e-09	2.41240159123599e-06
RNF212	3.12768278534276	2.88208695631884	33.0494279888614	8.98454775142514e-09	2.66368197283041e-06
ATP8B1	2.39815974329908	5.37535776995012	32.0262625723858	1.52102325912e-08	4.39380718903741e-06
CABCOCO1	-2.29214982507912	5.14714758072112	31.688134730141	1.81024803751328e-08	5.09856359765616e-06
TMTC1	1.85323961882882	8.4469542889264	30.090815578202	4.12279163891253e-08	1.13286269765826e-05
AC112178.1	3.15489002085948	2.94155239005816	29.950874103345	4.43132079885566e-08	1.188649050474e-05
ENPP2	1.57493309142774	8.45603755258855	29.4139842685562	5.84543135118505e-08	1.53150301401048e-05
CLVS1	-1.9037715986564	4.88542095083819	29.3464413782385	6.05275660214826e-08	1.54978081545005e-05
HORMAD2	-2.34893008798174	4.64848007394677	28.8015494084698	8.01869377761732e-08	2.00752453552526e-05
SPOCK3	1.52848638696131	7.23572299274788	28.2107171265832	1.08800470464439e-07	2.66466543533125e-05
AC079160.1	2.86538887491749	5.71041443048957	27.8858081990529	1.28690214825556e-07	3.08473183026536e-05
CTSF	2.4175149936466	2.84635837305711	27.6313383689182	1.4678133009782e-07	3.44508013517092e-05
PTCHD1.AS	-3.45662003892995	5.98883332787501	27.4173638989051	1.63952486657748e-07	3.76956880548202e-05
AC068308.1	-5.79094130232572	4.77169021109482	27.0478786523722	1.98477919017986e-07	4.47210447131326e-05
THBS1	2.06850278396088	3.73745707901087	26.8567722061402	2.19105216212463e-07	4.81381503030873e-05
GEM	2.27566624743961	7.19717296573398	26.8297599467437	2.22189225613398e-07	4.81381503030873e-05
TM4SF1	2.51903929045167	2.80545472251501	26.7411495826301	2.32614699286307e-07	4.94459849464063e-05
AC079062.1	3.48032959322097	3.77620709289557	26.2780575123518	2.95628479571813e-07	6.11699005946624e-05
LEF1	1.46695118932354	7.33356655151161	26.2585605983853	2.98628131786476e-07	6.11699005946624e-05
CPNE5	2.55314298437497	3.4418800555	26.153385073865	3.15343809559528e-07	6.34404171160293e-05
INSC	3.38651464067816	3.81012883893817	26.0893222673273	3.25981770141443e-07	6.4430010919535e-05
COL23A1	2.83830262622259	6.32260365358938	25.9102634290587	3.57662445980613e-07	6.9472846834786e-05
LINC00276	-3.14823126017633	5.48367921369335	25.8557844257725	3.67900537401976e-07	7.02502958367909e-05
AC022634.2	2.55370816498791	2.94008284698098	25.6775100681473	4.0350211212527e-07	7.57642465867215e-05
KIF26B	-1.61648672083852	6.65311594185075	25.3096277249671	4.88265529161256e-07	8.95094527240802e-05
AL356295.1	-2.55302086067837	2.6439520277877	25.2925961064241	4.92595958538343e-07	8.95094527240802e-05
FLRT2	-1.56962598788253	6.75690623450686	25.063396793386	5.54759815874225e-07	9.92051442164923e-05
FAM216B	-1.85854690716492	3.98126119707539	24.8310124381246	6.25824591583886e-07	0.000109667358459814
NEFM	1.99238031558027	3.90915679540215	24.8098480957865	6.32733738672812e-07	0.000109667358459814
TLE1	-1.68654614200869	5.25376634978533	24.7391637110465	6.56367888355941e-07	0.000112040009548758
OPCML	1.44093795098692	7.46720026198038	24.399987876458	7.82691862739358e-07	0.000131609052621218
TPH1	2.32590034717303	3.2615614988805	23.8557462767455	1.03831464959455e-06	0.000172024306504885
ADAMTS9	-1.66957591437749	6.3892642118942	23.7872034949425	1.07595408255035e-06	0.000175676792666844
GAS7	-1.52038209079914	6.32317760248936	22.8954319286316	1.71057895952614e-06	0.000272599632237173
FYB2	-1.97837588416907	6.46664131371958	22.8871522402562	1.71796324239653e-06	0.000272599632237173
MT1M	3.58793800310671	2.72357864896852	22.7266599412826	1.86758741209592e-06	0.000292225552564897
LINC02163	-2.44841095185157	2.32061044976748	22.6102681550076	1.98421303481789e-06	0.000306221151373402
CELF2	-1.53034859758276	8.68853728601666	22.5695278194101	2.02673876010804e-06	0.000308557282045638
PCYT1B	1.45752334574244	5.82736159832071	22.423576941045	2.18673140393673e-06	0.000328476213290016
AC105411.1	-1.80093995170905	5.21059229382505	22.3748379503402	2.24293394417808e-06	0.000332485444935662
PRICKLE2	-1.83391047097449	8.00044725370736	22.3005851779551	2.33135552802938e-06	0.000341104563360766
AC007091.1	-1.45640795192973	5.70459077342178	22.0952838542401	2.59446367420828e-06	0.000374733689149109
RGS7	-2.46927803656696	4.39500929618495	21.8284571416489	2.98145255617332e-06	0.00042517777845378
TPD52	1.49957148784197	6.44060162601318	21.7809982073793	3.05611934048435e-06	0.000426201545535809
GABRA3	-1.99493085726068	4.81149878966106	21.7758737468096	3.06429302222621e-06	0.000426201545535809
DUSP1	1.72166446297773	4.67107248757983	21.732157770271	3.13491917088672e-06	0.000426304374508619
ANKRD66	-2.26835799076187	2.56376007731338	21.7286160102021	3.14071215020552e-06	0.000426304374508619
CCDC80	2.09382916439281	4.12011830550132	21.4469743204472	3.63749550391436e-06	0.000487857432703561
MEIS1	1.38919839213116	6.60510312725444	21.354122040987	3.81798964000239e-06	0.000506040838638435
AL136985.3	-2.42495272917142	3.58109778198916	21.2784707922286	3.97167193169816e-06	0.000520289023052459
RFX3.AS1	-1.95698916222631	6.31034872154836	21.2528615037113	4.02509029994452e-06	0.000521226061139942
IGDCC3	-1.8713297067439	3.60557458664173	21.1028796119804	4.35273536863926e-06	0.000557249052989658
EGFR	1.46533565063471	5.6852597672198	21.0672038207995	4.43453364559118e-06	0.000561342202822812
LPAR4	1.74913357024952	4.04234552887715	20.7433847988229	5.25126680157091e-06	0.000657341908738866
CLDN3	1.83544586611975	3.44492936534829	20.5265023203288	5.88113071082699e-06	0.000728096907562384
KCNS3	1.78843647846562	3.99461873319438	20.4081029419106	6.25643277536153e-06	0.000766140996165467
HKDC1	-2.12650643271563	2.75233792437954	20.3112535665744	6.58123603772478e-06	0.000797249518290402
SLC38A11	2.09702672328833	8.70290545875021	20.2685666696891	6.72971868566045e-06	0.000806563943751602
ECT2L	-1.92191421492218	3.22341856671524	20.1421554378367	7.18944989932515e-06	0.000852593079639969
OLFM3	2.03488597884268	4.60913053940399	20.0299155551536	7.62400620394361e-06	0.000894358911859931
TEX2	-1.39341328351045	5.92309675007537	20.0108474514874	7.70040959084087e-06	0.000894358911859931
TTC34	-1.84185100551933	3.26048098463901	19.9591409588846	7.91148137240379e-06	0.000909497440219398
FEZF1.AS1	-3.39680990044737	3.48076297652811	19.9141759439746	8.09975018342844e-06	0.000921735207742473
AC068756.1	2.6480598900888	2.96613935350826	19.7506321844472	8.82325038028972e-06	0.00099402738784344
COL8A2	2.79163147768747	3.89529704821155	19.562519050326	9.73606312445581e-06	0.00108600482336752
FILIP1	-2.2119125906646	3.73345582767885	19.4388847681819	1.03870571817301e-05	0.00114726064911148
DCX	-2.721637088918	5.92990502288895	19.3583719075198	1.08343210057127e-05	0.00118504330534329
ITM2A	2.91506503247945	4.84632882452921	19.3204001212666	1.1051922907811e-05	0.00119722080268653
KCNIP1	-1.33661193338591	6.59856904262555	19.2819689469764	1.12766265946685e-05	0.00120059103384923
HPGD	1.98737219847122	5.84938379006585	19.2786628820527	1.1296169855141e-05	0.00120059103384923
KCNK15.AS1	1.82786833515803	3.13169665946562	19.221599859746	1.16388993273518e-05	0.00122545644693407
VAV3	3.03836702544733	3.58290214339821	19.1372413596622	1.21647939349732e-05	0.00126896822658711
