logFC	logCPM	LR	PValue	FDR
SPARCL1	2.57834302493045	8.17386540482204	45.6671999864028	1.40150014609178e-11	2.60454787149697e-07
CACNB2	3.01120411111025	8.4558451214819	39.0363963847042	4.1597761258209e-10	3.86526397611278e-06
RNF212	2.94194957291528	2.1405063620973	37.5548260900352	8.88792374977355e-10	5.50577249885972e-06
AC099792.1	2.10928324870868	5.47045332308493	33.8180239279258	6.05156006780981e-09	2.81155480750444e-05
DOCK10	1.86916757129742	5.88803602621156	32.5917460271745	1.13696573063715e-08	3.77544154486951e-05
ADCY8	2.34118651248417	5.64159808054004	32.4564567568028	1.21893291375469e-08	3.77544154486951e-05
FGF1	2.21764177681949	3.53029736493829	30.7427129251817	2.9460812397101e-08	7.82142482268179e-05
AC007422.1	2.23079615487353	1.37518956574404	29.7358526261354	4.95106286220711e-08	0.000115013190289071
AC073941.1	2.3625478699019	4.0318933751743	29.0217363840471	7.15707117375406e-08	0.000147785567436717
IQCA1	1.98326118262665	3.487795880353	28.67423620897	8.56354834630111e-08	0.00015914498246766
LINC02732	2.67799462866672	0.878992823200766	27.3928004389939	1.66048282671224e-07	0.000280531025923821
AC104964.4	1.84615693705136	1.66371916016576	27.1777052385024	1.85586497775414e-07	0.000287411622888191
COL28A1	1.41769927181408	4.24535404453565	26.5216154962294	2.60605751936012e-07	0.000356450736062868
AC023796.1	3.19486990890766	1.32794477531184	26.4637714139759	2.6852724412829e-07	0.000356450736062868
PAMR1	2.36136460018988	4.56324430839016	25.9849134516137	3.44095829915804e-07	0.000412466525487373
LINC01090	2.24073998230528	5.98365850497664	25.9240596879809	3.55115390002043e-07	0.000412466525487373
LINC01844	2.54915461067918	2.02270583038794	25.64667308861	4.10001734822507e-07	0.000448204249408322
PCDHGA7	3.88093418988256	1.24596623567458	25.420150820094	4.61076683414329e-07	0.00045105112734968
AL583785.1	4.67113845195863	5.11219453091182	25.4198531307167	4.61147837905936e-07	0.00045105112734968
SPRY4.AS1	2.24545431847228	6.04650310811254	24.9234334475274	5.96529056536793e-07	0.000554294799333988
LINC00551	2.45713957332906	1.95442781465549	24.6936773913506	6.72042822019323e-07	0.000594725895447957
SGO1.AS1	2.75781176310952	8.53713248733995	24.2835868060878	8.3144532766612e-07	0.000681020887037768
LINC01151	2.39857166740736	2.89720340862281	24.2573516465298	8.42847632472485e-07	0.000681020887037768
AC097450.1	2.18433184548395	1.45179386430439	24.1134506967224	9.08236805344054e-07	0.000698985449054789
AC093898.1	2.78003436736741	1.89076054784131	23.9740811668153	9.76413329205535e-07	0.000698985449054789
PCDHGA3	4.25339243314688	2.06904739610381	23.9711172040941	9.77917653649619e-07	0.000698985449054789
WNT3A	2.2671832239011	2.27941723711068	23.6870424332403	1.13343102205004e-06	0.000780136374584367
AC244502.1	2.56439561903943	2.30596408041301	23.5128414458156	1.24082812784722e-06	0.000823555354568314
AL110292.1	3.79731125725013	5.31769320707847	23.29098618427	1.39251080360995e-06	0.000892359337044387
TPH1	2.74232928351974	3.60105501963933	22.7700961869596	1.82584774985899e-06	0.00113105181944598
PCDHGA6	2.88783883523771	2.50995871776711	22.5301836509738	2.06867478496769e-06	0.00124013716786579
LINC02814	3.32788484061017	4.81368202357928	22.3393889362604	2.28471958714826e-06	0.00132685090023635
CCDC190	1.97233822464496	3.86515754642727	22.2248898941536	2.42509575018331e-06	0.00134018550634564
MS4A6A	2.29161086517098	0.81128599900557	22.2037763362718	2.45191063365001e-06	0.00134018550634564
