"GO.ID" "Term" "Annotated" "Significant" "Enrichment" "Fisher.pvalue" "FDR" "genes"
"111" "GO:0098771" "inorganic ion homeostasis" 351 29 2.12298682284041 "0.00010" 0.00549662921348315 "ADCY8, BCL2, CACNB2, CNGB1, DMXL1, EGFR, LPAR4, MT1E, MT1F, MT1G, MT1H, MT1M, MT1X, MT2A, MT3, PDK4, ENPP1, PRKD1, RYR2, SLC30A1, AKAP6, HEPH, SLC12A6, NEDD4L, CDH23, GPR157, SLC24A4, SLC39A12, ATP13A5"
"112" "GO:0099536" "synaptic signaling" 387 31 2.05843293492696 "0.00010" 0.00549662921348315 "ABAT, ADARB1, ADCY8, AMPH, CACNA1E, CACNB2, EGFR, GABRA3, GABRG3, GLUL, GRID2, GRIK1, NR4A1, IL1RAP, KCNQ3, LY6H, MME, SERPINE2, SLC6A1, SLC30A1, PPFIA2, PDLIM4, DGKI, DLGAP1, RIMS2, SLC12A6, ERC2, KCNMB4, LYPD1, CNIH3, SLC17A8"
"113" "GO:0006875" "cellular metal ion homeostasis" 266 24 2.31884057971015 "0.00011" 0.00578623655913978 "ADCY8, BCL2, CACNB2, CNGB1, LPAR4, MT1E, MT1F, MT1G, MT1H, MT1M, MT1X, MT2A, MT3, PRKD1, RYR2, SLC30A1, AKAP6, HEPH, NEDD4L, CDH23, GPR157, SLC24A4, SLC39A12, ATP13A5"
"115" "GO:0045597" "positive regulation of cell differentiat..." 443 34 1.97215777262181 "0.00011" 0.00578623655913978 "PARP1, RHOH, BCL2, BCL6, BRINP1, EGFR, HES1, ID2, CCN1, KDR, MME, PDE3A, SERPINE2, PLAG1, PRKD1, RARRES2, SFRP1, SOX5, SOX11, CLDN5, TWIST1, SEMA5A, CD83, NTN1, AKAP6, TOX, WIF1, LEF1, SHTN1, DOCK5, ADAMTS20, CCDC3, ATOH8, RANBP3L"
"116" "GO:0031076" "embryonic camera-type eye development" 21 6 7.31707317073171 "0.00011" 0.00578623655913978 "SIX3, SOX11, TWIST1, ALDH1A2, NES, STRA6"
"117" "GO:1904062" "regulation of cation transmembrane trans..." 171 18 2.7027027027027 "0.00011" 0.00578623655913978 "ACTN2, CACNA1D, CACNB2, FGF13, GEM, KCNN2, PRKD1, PTPN3, RGS2, RYR2, TWIST1, SLC30A1, AKAP6, GPD1L, NEDD4L, KCNIP1, AHNAK, CNIH3"
"119" "GO:0055065" "metal ion homeostasis" 302 26 2.21276595744681 "0.00012" 0.006115 "ADCY8, BCL2, CACNB2, CNGB1, EGFR, LPAR4, MT1E, MT1F, MT1G, MT1H, MT1M, MT1X, MT2A, MT3, PRKD1, RYR2, SLC30A1, AKAP6, HEPH, SLC12A6, NEDD4L, CDH23, GPR157, SLC24A4, SLC39A12, ATP13A5"
"120" "GO:0048666" "neuron development" 714 48 1.72724001439367 "0.00012" 0.006115 "ADARB1, RHOH, BCL2, CNGB1, DCX, EGFR, EPHA7, FGF13, GRID2, HES1, ID1, ANOS1, LAMA3, MT3, NME1, ROR1, OPCML, PBX1, ATP8B1, PRKD1, RGS2, SFRP1, ITSN1, VLDLR, BTG2, SEMA3B, NCK2, PPFIA2, GAS7, KALRN, SEMA5A, NRXN3, NTN1, RIMS2, TOX, PALLD, NEDD4L, FLRT2, TAOK3, ATP8A2, TENM3, SHTN1, CPNE5, CDH23, ADGRV1, OLFM3, UNC5B, SLC39A12"
"121" "GO:0030001" "metal ion transport" 409 32 2.01005025125628 "0.00012" 0.006115 "ACTN2, BCL2, CACNA1D, CACNA1E, CACNB2, FGF13, GEM, KCNN2, KCNQ3, KCNS3, MT3, MYLK, SERPINE2, PRKD1, PTPN3, RYR2, SCN3A, SLC6A1, SLC30A1, AKAP6, HEPH, SLC12A6, GPD1L, NEDD4L, KCNMB4, KCNIP1, CDH23, AHNAK, SLC24A4, SLC38A11, SLC39A12, SLC17A8"
"123" "GO:0003254" "regulation of membrane depolarization" 22 6 6.97674418604651 "0.00015" 0.00741212121212121 "PARP1, BCL2, KDR, PTPN3, GPD1L, NEDD4L"
"124" "GO:0021545" "cranial nerve development" 22 6 6.97674418604651 "0.00015" 0.00741212121212121 "ADARB1, CNGB1, HES1, ATP8B1, NAV2, SLC24A4"
