"GO.ID" "Term" "Annotated" "Significant" "Enrichment" "Fisher.pvalue" "FDR" "genes"
"331" "GO:0060284" "regulation of cell development" 489 29 2.14497041420118 "0.00010" 0.00292882882882883 "CDH4, DLX1, EDNRB, EPHA7, ETV5, FOXG1, FN1, HAS2, HOXB3, KIT, NTRK3, OPRM1, PDE3A, PITX3, RELN, RREB1, SOX10, CLDN5, TRPC5, NRP1, LHX2, NTN1, KIF14, SEMA3C, FSTL4, SOX8, HES6, CHODL, SEMA3D"
"332" "GO:0003206" "cardiac chamber morphogenesis" 118 12 3.68098159509202 "0.00010" 0.00292882882882883 "GATA3, MEF2C, SLIT3, TBX3, TGFB2, TNNI1, TNNT2, NRP2, NRP1, ADAMTS1, SEMA3C, ZFPM2"
"333" "GO:0022612" "gland morphogenesis" 118 12 3.68098159509202 "0.00010" 0.00292882882882883 "AR, ELF3, ESR1, TNC, SOX9, TBX3, TGFB2, NRP1, NTN1, SEMA3C, NTN4, CSMD1"
"334" "GO:0072178" "nephric duct morphogenesis" 10 4 14.2857142857143 "0.00011" 0.00319294642857143 "EPHA7, GATA3, LHX1, PAX2"
"335" "GO:0048167" "regulation of synaptic plasticity" 196 16 2.9520295202952 "0.00011" 0.00319294642857143 "CALB1, GRID2, GRIK2, GRIN2A, GRIN2B, KIT, MEF2C, RELN, RASGRF2, CNTN2, SCGN, SORCS3, RIMS1, SLC24A2, MCTP1, SHISA9"
"336" "GO:0001656" "metanephros development" 85 10 4.25531914893617 "0.00012" 0.00342210526315789 "CALB1, GATA3, LHX1, PAX2, PDGFRA, SOX9, WT1, SOX8, GREB1L, FMN1"
"337" "GO:0060021" "roof of mouth development" 85 10 4.25531914893617 "0.00012" 0.00342210526315789 "DLX5, DLX6, PDGFRA, TBX3, TFAP2A, TGFB2, CLDN5, SATB2, BNC2, WFIKKN2"
"338" "GO:0061448" "connective tissue development" 238 18 2.73556231003039 "0.00012" 0.00342210526315789 "BMPR1B, RUNX1, COL1A1, HOXB3, HOXD3, MEF2C, ROR2, RARB, SOX9, WT1, HMGA2, SATB2, SOX8, TRPV4, EBF2, PDGFD, WNT5B, RSPO2"
"339" "GO:0048706" "embryonic skeletal system development" 120 12 3.6144578313253 "0.00012" 0.00342210526315789 "COL1A1, DLX1, HOXB3, HOXB9, HOXD3, LHX1, PDGFRA, SP3, TFAP2A, SATB2, DSCAML1, GSC"
"340" "GO:0031644" "regulation of nervous system process" 139 13 3.38541666666667 "0.00013" 0.00364336206896552 "EDNRB, GLRA1, GRM1, OPRM1, RELN, SOX10, NRXN1, NMU, MGLL, RIMS1, CACNG5, CELF4, SHISA9"
"341" "GO:0060541" "respiratory system development" 198 16 2.92504570383912 "0.00013" 0.00364336206896552 "ALDH1A3, DLX5, EPAS1, TNC, PDGFRA, SOX9, SP3, WT1, ALDH1A2, ZFPM2, HHIP, HOPX, MYOCD, DNAAF1, CCBE1, RSPO2"
"342" "GO:0003231" "cardiac ventricle development" 121 12 3.59281437125749 "0.00013" 0.00364336206896552 "PRDM1, GATA3, MEF2C, SLIT3, TBX3, TGFB2, TNNI1, TNNT2, SEMA3C, ZFPM2, GREB1L, MYOCD"
"343" "GO:0072077" "renal vesicle morphogenesis" 19 5 9.43396226415094 "0.00013" 0.00364336206896552 "LHX1, PAX2, SOX9, SOX8, FMN1"
"344" "GO:0071241" "cellular response to inorganic substance" 220 17 2.79605263157895 "0.00014" 0.00384084388185654 "BLM, CDH1, ECT2, FOS, GLRA1, JUNB, JUND, KCNC2, KCNH1, MEF2C, MMP9, RYR1, TFAP2A, CPNE4, CPNE8, SYT6, SYT10"
"345" "GO:0099565" "chemical synaptic transmission, postsyna..." 104 11 3.83275261324042 "0.00014" 0.00384084388185654 "GLRA1, GRID2, GRIK2, GRIN2A, GRIN2B, MEF2C, OPRM1, RELN, NRXN1, RIMS1, CELF4"
"346" "GO:0031589" "cell-substrate adhesion" 354 23 2.34933605720123 "0.00014" 0.00384084388185654 "ACTN2, CDH13, COL1A1, COL13A1, EPHA3, FN1, HAS2, ONECUT1, HOXD3, SERPINE1, RREB1, PPFIA2, NRP1, KIF14, EDIL3, DLC1, NTNG1, TMEFF2, ADAMTS9, NTN4, NDNF, FMN1, VWC2"
"347" "GO:0072078" "nephron tubule morphogenesis" 71 9 4.59183673469388 "0.00014" 0.00384084388185654 "GATA3, LHX1, PAX2, SOX9, WT1, SOX8, GREB1L, ADAMTS16, FMN1"
"348" "GO:0060042" "retina morphogenesis in camera-type eye" 56 8 5.16129032258065 "0.00014" 0.00384084388185654 "CALB1, LHX1, SOX9, TFAP2A, SOX8, IGFN1, FOXN4, HCN1"
"349" "GO:0051968" "positive regulation of synaptic transmis..." 30 6 7.2289156626506 "0.00015" 0.00409789915966386 "ROR2, RELN, CCL2, NRXN1, CACNG2, CACNG5"
"352" "GO:0007369" "gastrulation" 181 15 3 "0.00016" 0.00431668049792531 "COL4A2, COL12A1, FN1, FOXA2, LAMA3, LHX1, MMP9, OTX2, PAX2, SOX2, NR4A3, HMGA2, EOMES, WNT5B, GSC"
"354" "GO:0014065" "phosphatidylinositol 3-kinase signaling" 142 13 3.30788804071247 "0.00016" 0.00431668049792531 "EGF, FN1, GATA3, KIT, MAZ, NTRK3, ROR2, PDGFRA, RELN, SOX9, TGFB2, PIP5K1B, PDGFD"
