,source,target,coef_mean,coef_abs,p,-logp
0,PRRX1,ABCA4,-0.08726283,0.08726283,0.00013800129810738324,3.8601168283942564
3,RFX6,ABCA4,0.017764032,0.017764032,2.0029647909257052e-05,4.698326684875708
4,HOXB9,ABCA4,-0.079241306,0.079241306,1.1467014052637283e-07,6.940549655270962
5,ETV5,ABCA4,-0.114847645,0.114847645,9.800642108452966e-06,5.008745469713369
8,RUNX1,ABCA4,0.06133889,0.06133889,5.3349716031370034e-05,4.272867887885945
9,MLX,ABCA4,0.023799585,0.023799585,7.554188631014603e-09,8.121812174871753
10,POU2F2,ABCA4,-0.22374013,0.22374013,2.691960645987999e-06,5.569931293391293
11,SP1,ABCA4,0.1449159,0.1449159,1.0355866362235711e-14,13.984813562574562
12,GATA3,ABCA4,-0.13491431,0.13491431,2.9106403899748803e-05,4.536011448390449
15,LHX9,ABCA4,-0.0383073,0.0383073,0.0008339993904836417,3.0788342667599684
16,FOSL1,ABCA4,-0.025509238,0.025509238,8.601666215288086e-05,4.065417414103605
17,THRB,ABCA4,0.39831096,0.39831096,1.8121246762098082e-21,20.741811925683905
20,POU3F2,ABCA4,0.14892484,0.14892484,7.905963063563669e-12,11.102045218999873
21,IRF1,ABCA4,-0.040266287,0.040266287,0.0003639068751101142,3.439009739428384
22,EBF1,ABCA4,0.16419667,0.16419667,7.83838998633088e-06,5.105773132705567
23,HES1,ABCA4,0.16229756,0.16229756,3.6871219073429443e-10,9.433312503074356
25,MAZ,ABCA4,-0.12448896,0.12448896,6.906899650206387e-13,12.160716853777872
26,JUND,ABCA4,-0.033175305,0.033175305,0.0004294923341077079,3.3670445833680884
29,PHOX2A,ABCA4,-0.032053635,0.032053635,2.0087036460587878e-09,8.697084132129364
31,KLF16,ABCA4,-0.02860024,0.02860024,3.8264109389875636e-08,7.417208390568262
32,LHX1,ABCA4,0.060609326,0.060609326,0.0008807178972038475,3.0551631782021484
36,TEAD3,ABCA4,-0.04811245,0.04811245,3.5564438115564676e-08,7.448984048353376
40,SP4,ABCA4,-0.11884944,0.11884944,6.972650725881866e-10,9.156602088935522
41,RORB,ABCA4,0.070901625,0.070901625,1.4536092663649013e-05,4.837552317181642
43,HOXD3,ABCA4,0.15136899,0.15136899,1.5744758636311435e-05,4.80286399261534
44,KLF4,ABCA4,0.02846495,0.02846495,9.326965014947862e-05,4.0302596522543634
46,WT1,ABCA4,-0.021916587,0.021916587,5.921495835026496e-09,8.22756857185162
48,FOSB,ABCA4,-0.066345654,0.066345654,8.825015049145776e-05,4.054284545344627
50,FOSL2,ABCA4,-0.09123281,0.09123281,0.00019011035926893788,3.7209942174283093
51,JUNB,ABCA4,0.10140418,0.10140418,0.00017039916317104225,3.768532542380886
52,KLF11,ABCA4,-0.05951344,0.05951344,4.139875513953374e-13,12.383012717916772
54,SHOX2,ABCA4,-0.078743875,0.078743875,2.7899123720127327e-07,6.554409437209907
55,HES5,ABCA4,-0.13903505,0.13903505,3.5630404959272343e-09,8.448179241623784
56,SP9,ABCA4,0.14300457,0.14300457,5.365764873295106e-06,5.270368361941337
57,RREB1,ABCA4,0.089794904,0.089794904,2.244159352871006e-05,4.64894630801507
58,PPARG,ABCA4,-0.046653703,0.046653703,3.874838374023788e-05,4.411746407927612
59,NEUROD1,ABCA4,0.0848771,0.0848771,1.651635535490252e-07,6.782085781705966
60,BCL11B,ABCA4,0.14659412,0.14659412,3.1872845417562635e-07,6.496579163574138
61,MEOX2,ABCA4,-0.014728279,0.014728279,1.694155254293551e-06,5.771046792946643
66,NRF1,ABCA4,-0.0616635,0.0616635,4.692142214388581e-05,4.328628833302414
67,PAX7,ABCA4,-0.03453826,0.03453826,0.0005491449837017625,3.2603129792131007
69,NEUROG2,ABCA4,-0.04822283,0.04822283,1.1893434119749589e-06,5.924692728735394
71,LMX1B,ABCA4,-0.12426101,0.12426101,2.5266869019723484e-09,8.597448570968979
73,ONECUT3,ABCA4,0.09717243,0.09717243,0.00038857117363699713,3.4105294209126216
74,ELF3,ABCA4,-0.022401465,0.022401465,0.0001726529483113852,3.7628260010131496
76,LHX2,ABCC9,-0.062087603,0.062087603,5.367238433894963e-12,11.270249111211047
78,TFAP4,ABCC9,-0.00843407,0.00843407,5.109941146414642e-07,6.291584101809427
81,HNF4A,ABCC9,0.026505213,0.026505213,1.3806706433785721e-14,13.859909909272647
82,SP1,ABCC9,-0.014241821,0.014241821,0.00027963007054385494,3.553416127743769
83,PRDM1,ABCC9,-0.011896086,0.011896086,9.765229930807349e-05,4.01031752641553
86,IRF1,ABCC9,-0.010521878,0.010521878,2.414438122279344e-06,5.617183920310016
87,SOX8,ABCC9,0.04029164,0.04029164,1.7600565921679104e-14,13.754473367827266
88,MAZ,ABCC9,0.016758831,0.016758831,1.2769023047413452e-09,8.893842329153808
90,TFAP2A,ABCC9,0.02648122,0.02648122,2.512710039334988e-05,4.599857625049452
92,NR4A3,ABCC9,-0.01157337,0.01157337,3.4075607952387964e-09,8.467556387055666
93,MECOM,ABCC9,0.013457991,0.013457991,6.972828603981046e-07,6.156591009864648
96,MEF2C,ABCC9,-0.048973046,0.048973046,5.188955832501037e-10,9.284920025929223
97,SOX15,ABCC9,-0.0040113265,0.0040113265,0.00040581614488392336,3.391670679100301
102,SOX2,ABCC9,0.019929942,0.019929942,0.00032830413346155595,3.4837236493198707
104,SOX9,ABCC9,0.033710796,0.033710796,6.65632086330926e-08,7.176765751349846
