,source,target,coef_mean,coef_abs,p,-logp
0,PRRX1,ABCA4,0.0018184755,0.0018184755,1.536629210424293e-09,8.813430915384874
1,LHX2,ABCA4,-0.0020166133,0.0020166133,3.968180330362863e-10,9.401408599949821
2,IRF3,ABCA4,0.00092547986,0.00092547986,3.997864956682837e-05,4.398171879942262
5,ETV5,ABCA4,0.0027315323,0.0027315323,1.5166568670609539e-12,11.81911266416921
6,FOXA2,ABCA4,-0.00067118823,0.00067118823,3.470259502327779e-05,4.459638047913714
7,FOS,ABCA4,0.0010949082,0.0010949082,2.636175404799615e-05,4.579025696201629
8,RUNX1,ABCA4,0.0012051021,0.0012051021,2.886967031506209e-09,8.539558175633198
9,MLX,ABCA4,-0.00042706082,0.00042706082,2.6470891539785323e-10,9.57723143141158
10,POU2F2,ABCA4,0.0011411567,0.0011411567,1.666278820290315e-05,4.778252325869273
11,SP1,ABCA4,0.0013033849,0.0013033849,1.9352545127159133e-11,10.713261911162157
13,HNF4A,ABCA4,0.001969556,0.001969556,4.241133245222712e-09,8.372518082938562
14,FEV,ABCA4,0.000118892916,0.000118892916,2.376282953707932e-05,4.62410184739561
15,LHX9,ABCA4,0.0018089135,0.0018089135,4.331153314368086e-12,11.363396442821628
18,LMX1A,ABCA4,0.005887045,0.005887045,1.4376098021949187e-14,13.842358974696626
20,POU3F2,ABCA4,-0.0012310977,0.0012310977,5.348217961291969e-06,5.271790901810676
21,IRF1,ABCA4,0.0017858892,0.0017858892,6.831520169631268e-09,8.165482645100017
24,SP3,ABCA4,-0.0009926396,0.0009926396,0.0007234569390743748,3.1405873134446383
26,JUND,ABCA4,0.0014142513,0.0014142513,1.6251711267915228e-06,5.789100902064618
27,SP8,ABCA4,-0.0007615772,0.0007615772,1.1698238787346518e-06,5.931879517955727
28,STAT4,ABCA4,0.0010048953,0.0010048953,1.7556058548357868e-07,6.755572979479699
29,PHOX2A,ABCA4,-0.00060577015,0.00060577015,8.76763876687563e-11,10.057117351741136
31,KLF16,ABCA4,0.00083877426,0.00083877426,1.3730936033001558e-10,9.862299856054491
32,LHX1,ABCA4,0.0004680073,0.0004680073,7.08704143223472e-05,4.14953502826031
35,AR,ABCA4,-0.0022310663,0.0022310663,2.1704508821055306e-10,9.663450037916459
36,TEAD3,ABCA4,-0.00089466205,0.00089466205,3.034552528177484e-06,5.517905340460487
38,ARNTL2,ABCA4,-0.0029872693,0.0029872693,4.165945594963044e-10,9.38028640600652
39,ELK4,ABCA4,-0.00062333356,0.00062333356,2.4446422364209612e-05,4.611784689144403
40,SP4,ABCA4,0.00090022496,0.00090022496,2.3919929563044786e-05,4.62124010354759
41,RORB,ABCA4,0.0016242801,0.0016242801,1.2333359451820817e-09,8.908918610941615
43,HOXD3,ABCA4,0.0013261152,0.0013261152,9.754368221574736e-10,9.01080085407769
